"","Date","Month","Year","n_hours","site","precip","sd","season"
"88","2019-08","Aug","2019",744,"sooretama",68.926,0.01,"dry"
"89","2019-09","Sep","2019",720,"rio_doce",6.321,1.283,"dry"
"90","2019-09","Sep","2019",720,"sooretama",23.137,0.226,"dry"
"91","2019-10","Oct","2019",744,"rio_doce",52.755,0.913,"dry"
"92","2019-10","Oct","2019",744,"sooretama",92.816,4.803,"dry"
"93","2019-11","Nov","2019",720,"rio_doce",235.906,2.147,"wet"
"94","2019-11","Nov","2019",720,"sooretama",318.374,7.496,"wet"
"95","2019-12","Dec","2019",744,"rio_doce",213.659,4.783,"wet"
"96","2019-12","Dec","2019",744,"sooretama",164.998,15.536,"wet"
"97","2020-01","Jan","2020",744,"rio_doce",417.989,5.058,"wet"
"98","2020-01","Jan","2020",744,"sooretama",336.76,6.865,"wet"
"99","2020-02","Feb","2020",696,"rio_doce",254.468,2.948,"wet"
"100","2020-02","Feb","2020",696,"sooretama",117.122,7.684,"wet"
"101","2020-03","Mar","2020",744,"rio_doce",210.571,7.305,"wet"
"102","2020-03","Mar","2020",744,"sooretama",174.886,1.946,"wet"
"103","2020-04","Apr","2020",720,"rio_doce",70.63,0.661,"dry"
"104","2020-04","Apr","2020",720,"sooretama",46.752,2.738,"dry"
"105","2020-05","May","2020",744,"rio_doce",70.622,3.982,"dry"
"106","2020-05","May","2020",744,"sooretama",30.71,0.678,"dry"
"107","2020-06","Jun","2020",720,"rio_doce",6.044,0.471,"dry"
"108","2020-06","Jun","2020",720,"sooretama",38.971,0.007,"dry"
"109","2020-07","Jul","2020",744,"rio_doce",17.749,0.584,"dry"
"110","2020-07","Jul","2020",744,"sooretama",38.904,0.453,"dry"
"111","2020-08","Aug","2020",744,"rio_doce",14.9,0.439,"dry"
"112","2020-08","Aug","2020",744,"sooretama",47.384,1.289,"dry"
"113","2020-09","Sep","2020",720,"rio_doce",2.316,0.411,"dry"
"114","2020-09","Sep","2020",720,"sooretama",27.59,0.546,"dry"
