"","date","EVI_Park"
"179",2021-08-26,0.2641125
"180",2021-08-31,0.23208525
"181",2021-09-05,0.32864325
"182",2021-09-10,0.33786875
"183",2021-09-15,0.3324805
"184",2021-09-20,0.3216575
"185",2021-09-30,0.31602925
"186",2021-10-05,0.311119
"187",2021-10-15,0.21314
"188",2021-10-20,0.3886955
"189",2021-10-30,0.453383
"190",2021-11-04,0.42840325
"191",2021-11-19,0.47079
"192",2021-11-24,0.44329425
"193",2021-11-29,0.4960375
"194",2021-12-04,0.397552333333333
"195",2021-12-14,0.470674
"196",2021-12-29,0.460933
