"","season_start_val","peak_val","season_end_val","season_start_date","peak_date","season_end_date","Seas.","Ampl.","length_days","phase_peak","season_half_date","phase_seas","season_ensemble_date","phase_ensemble"
"1",0.834,0.87,0.833,2016-07-20,2016-10-24,2017-01-28,1,0.0619999999999999,192,297,2016-04-06,96,2015-09-23,265
"2",0.828,0.86,0.819,2017-07-27,2017-10-31,2018-02-04,2,0.0619999999999999,192,303,2017-04-07,96,2016-09-19,261
"3",0.822,0.85,0.82,2018-08-03,2018-10-26,2019-01-18,3,0.0619999999999999,168,298,2018-03-26,84,2017-09-16,258
"4",0.809,0.84,0.799,2019-07-29,2019-11-02,2020-02-06,4,0.0619999999999999,192,305,2019-04-07,96,2018-09-19,261
"5",0.803,0.83,0.799,2020-08-04,2020-10-27,2021-01-19,5,0.0619999999999999,168,300,2020-03-25,84,2019-09-15,257
"6",0.803,0.82,NA,2021-08-23,2021-11-03,2022-01-14,6,0.0619999999999999,144,306,2021-03-14,72,2020-09-06,248
