"","season_start_val","peak_val","season_end_val","season_start_date","peak_date","season_end_date","Seas.","Ampl.","length_days","phase_peak","season_half_date","phase_seas","season_ensemble_date","phase_ensemble"
"1",0.792,0.816,0.777,2016-09-18,2016-12-23,2017-03-29,1,0.0359999999999999,192,357,2016-04-06,96,2015-08-24,235
"2",0.777,0.814,0.767,2017-03-29,2017-01-04,2017-09-13,2,0.0359999999999999,168,3,2017-03-26,84,2017-02-10,40
"3",0.747,0.771,0.744,2018-09-20,2018-12-13,2019-03-07,3,0.0359999999999999,168,346,2018-03-26,84,2017-08-23,234
"4",0.728,0.748,0.718,2019-09-27,2019-12-20,2020-03-13,4,0.0359999999999999,168,353,2019-03-26,84,2018-08-20,231
"5",0.718,0.747,0.693,2020-03-13,2020-01-01,2020-08-28,5,0.0359999999999999,168,0,2020-03-25,84,2020-02-12,42
"6",0.688,0.703,NA,2021-10-10,2021-12-21,2022-03-03,6,0.0359999999999999,144,354,2021-03-14,72,2020-08-13,224
