"","season_start_val","peak_val","season_end_val","season_start_date","peak_date","season_end_date","Seas.","Ampl.","length_days","phase_peak","season_half_date","phase_seas","season_ensemble_date","phase_ensemble"
"1",0.84,0.875,0.833,2016-07-08,2016-09-30,2016-12-23,1,0.073,168,273,2016-03-25,84,2015-09-29,271
"2",0.803,0.839,0.8,2017-07-03,2017-09-25,2017-12-18,2,0.073,168,267,2017-03-26,84,2016-10-01,273
"3",0.762,0.801,0.747,2018-06-28,2018-10-02,2019-01-06,3,0.073,192,274,2018-04-07,96,2017-10-04,276
"4",0.73,0.763,0.7035,2019-07-05,2019-10-09,2020-01-13,4,0.073,192,281,2019-04-07,96,2018-10-01,273
"5",0.697,0.726,0.6815,2020-07-11,2020-10-03,2020-12-26,5,0.073,168,276,2020-03-25,84,2019-09-27,269
"6",0.656,0.69,0.654,2021-07-06,2021-09-28,2021-12-21,6,0.073,168,270,2021-03-26,84,2020-09-30,272
