"","season_start_val","peak_val","season_end_val","season_start_date","peak_date","season_end_date","Seas.","Ampl.","length_days","phase_peak"
"1",0.802,0.859,0.781,2019-12-30,2019-03-25,2020-06-22,1,0.119,175,83
"2",0.786,0.844,NA,2020-12-29,2020-03-19,2021-06-27,2,0.119,180,78
"3",0.756,0.828,NA,2021-12-14,2021-03-19,2022-06-12,3,0.119,180,77
