"","/Users/brbell01/Google Drive/PHD/CUNY/Research/R/Phenology/raw/s2/1ha/harmonic/rio_doce_s2_1ha_EVI2_2016_2022_harmonic.csv"
"R2",0.000673331484800909
"MAPE",5.56079994090489
