"","/Users/brbell01/Google Drive/PHD/CUNY/Research/R/Phenology/raw/s2/1ha/harmonic/monte_pascoal_s2_1ha_EVI2_2016_2022_harmonic.csv"
"R2",0.0696717178974353
"MAPE",9.33441953358459
