"","season_start_val","peak_val","season_end_val","season_start_date","peak_date","season_end_date","Seas.","Ampl.","length_days","phase_peak"
"1",0.423,0.631,0.634,2019-08-02,2019-02-03,2020-01-29,1,0.208,180,33
"2",0.427,0.634,0.632,2020-07-27,2020-02-08,2021-01-13,2,0.208,170,38
"3",0.43,0.638,NA,2021-08-01,2021-02-02,2022-01-28,3,0.208,180,32
