"","season_start_val","peak_val","season_end_val","season_start_date","peak_date","season_end_date","Seas.","Ampl.","length_days","phase_peak"
"1",0.523,0.56,0.511,2019-09-08,2019-12-17,2020-03-26,1,0.0710000000000001,200,350
"2",0.518,0.552,0.506,2020-09-12,2020-12-16,2021-03-21,2,0.0710000000000001,190,350
"3",0.513,0.544,NA,2021-09-17,2021-12-16,2022-03-16,3,0.0710000000000001,180,349
