"","season_start_val","peak_val","season_end_val","season_start_date","peak_date","season_end_date","Seas.","Ampl.","length_days","phase_peak"
"1",0.78,0.85,0.817,2019-12-30,2019-04-24,2020-06-27,1,0.104,180,113
"2",0.778,0.848,0.823,2020-12-29,2020-04-28,2021-06-17,2,0.104,170,118
"3",0.776,0.847,NA,2021-12-29,2021-04-23,2022-06-27,3,0.104,180,112
