"","/Users/brbell01/Google Drive/PHD/CUNY/Research/R/Phenology/raw/s2/1ha/harmonic/sooretama_s2_1ha_EVI2_2016_2022_harmonic.csv"
"R2",0.00122905153199143
"MAPE",9.07487690504171
