"","/Users/brbell01/Google Drive/PHD/CUNY/Research/R/Phenology/raw/s2/1ha/harmonic/mata_escura_s2_1ha_EVI2_2016_2022_harmonic.csv"
"R2",0.0205745250056024
"MAPE",9.19200859524547
