"","season_start_val","peak_val","season_end_val","season_start_date","peak_date","season_end_date","Seas.","Ampl.","length_days","phase_peak"
"1",0.476,0.551,0.449,2019-11-10,2019-01-29,2020-05-08,1,0.174,180,28
"2",0.458,0.547,0.469,2020-10-30,2020-02-03,2021-04-23,2,0.174,175,33
"3",0.447,0.544,NA,2021-10-25,2021-02-02,2022-04-18,3,0.174,175,32
