"","Seas.","Start.t.","End.t.","Length","Base.val.","Peak.t.","Peak.val.","Ampl.","L.deriv.","R.deriv.","L.integral","S.integral","Start.val.","End.val.","season_start_date","season_end_date","peak_date","length_days","phase_peak","phase_seas","phase_ensemble"
"1",1,20,29.71,9.713,0.7265,24.12,0.8678,0.1413,0.03205,0.0233,9.864,1.145,0.776,0.775,2019-09-01,2019-12-27,2019-10-20,117,292,58,175
"2",2,49.99,59.7,9.71,0.7146,54.11,0.8569,0.1422,0.03351,0.02215,9.725,1.149,0.7661,0.7613,2020-08-26,2020-12-20,2020-10-14,117,287,58,172.5
"3",3,80,89.71,9.715,0.7007,84.11,0.8411,0.1404,0.03334,0.02368,9.54,1.132,0.7499,0.7469,2021-08-21,2021-12-16,2021-10-09,117,281,58,169.5
"4",4,110,119.7,9.71,0.6881,114.1,0.8316,0.1436,0.03282,0.02026,9.425,1.168,0.7403,0.7372,2022-08-16,2022-12-10,2022-10-04,117,276,58,167
"5",5,140,149.7,9.723,0.6784,144.1,0.8168,0.1383,0.03357,0.02369,9.253,1.112,0.7251,0.7241,2023-08-11,2023-12-05,2023-09-29,117,271,58,164.5
