"","Seas.","Start.t.","End.t.","Length","Base.val.","Peak.t.","Peak.val.","Ampl.","L.deriv.","R.deriv.","L.integral","S.integral","Start.val.","End.val.","season_start_date","season_end_date","peak_date","length_days","phase_peak","phase_seas","phase_ensemble"
"1",1,19.37,30.08,10.71,0.8105,26.44,0.8796,0.06908,0.007463,0.02733,11.12,0.579,0.8358,0.8354,2019-08-24,2019-12-31,2019-11-17,129,320,64,192
"2",2,49.33,60.08,10.75,0.8019,56.42,0.8727,0.0708,0.007032,0.02705,11.04,0.6121,0.8319,0.827,2020-08-18,2020-12-25,2020-11-11,129,315,64,189.5
"3",3,79.3,90.08,10.78,0.7845,86.44,0.852,0.06747,0.006606,0.02738,10.77,0.5756,0.8128,0.806,2021-08-13,2021-12-20,2021-11-06,129,309,64,186.5
"4",4,109.3,120.1,10.75,0.77,116.4,0.8379,0.06784,0.007059,0.02759,10.58,0.571,0.7963,0.7927,2022-08-08,2022-12-15,2022-11-01,129,304,64,184
"5",5,139.4,150.1,10.69,0.7681,146.4,0.8381,0.07002,0.007892,0.02751,10.57,0.5813,0.7918,0.7945,2023-08-04,2023-12-10,2023-10-27,128,299,64,181.5
