"","Seas.","Start.t.","End.t.","Length","Base.val.","Peak.t.","Peak.val.","Ampl.","L.deriv.","R.deriv.","L.integral","S.integral","Start.val.","End.val.","season_start_date","season_end_date","peak_date","length_days","phase_peak","phase_seas","phase_ensemble"
"1",1,21.24,34.54,13.29,0.7047,25.53,0.8362,0.1315,0.02114,0.008154,11.75,1.183,0.753,0.7503,2019-09-16,2020-02-22,2019-11-06,159,309,80,194.5
"2",2,51.21,64.48,13.28,0.6834,55.55,0.8186,0.1352,0.02027,0.009149,11.46,1.206,0.7394,0.7244,2020-09-10,2021-02-16,2020-11-01,159,305,80,192.5
"3",3,81.2,94.52,13.32,0.6526,85.53,0.78,0.1274,0.02111,0.008523,10.9,1.108,0.7003,0.6898,2021-09-04,2022-02-11,2021-10-26,160,298,80,189
"4",4,111.2,124.6,13.32,0.6376,115.5,0.7656,0.1281,0.02115,0.007897,10.7,1.138,0.6825,0.6811,2022-08-30,2023-02-07,2022-10-21,160,293,80,186.5
"5",5,141.3,154.6,13.31,0.6383,145.5,0.7689,0.1306,0.02154,0.007755,10.75,1.18,0.684,0.6861,2023-08-27,2024-02-02,2023-10-16,160,288,80,184
