"","year","R2","Mape"
"1",2016,0.0387791288094522,9.8018116041187
"2",2017,0.0104791957480313,6.12845632308168
"3",2018,0.328318857587329,4.72263329478784
"4",2019,0.0023408276221163,5.89320041943962
"5",2020,0.43888690684091,4.006398064117
"6",2021,0.742778307808044,2.65121942176197
