,Seas.,Start.t.,End.t.,Length,Base.val.,Peak.t.,Peak.val.,Ampl.,L.deriv.,R.deriv.,L.integral,S.integral,Start.val.,End.val.,season_start_date,season_end_date,peak_date,length_days,phase_peak,season_half_date,phase_seas,season_ensemble_date,phase_ensemble
1,1,23.61,39.51,15.9,0.7447,30.51,0.8109,0.06627,0.008373,0.004597,14.31,0.9044,0.7827,0.7782,16-10-19,17-4-28,17-1-10,191,374,17-1-23,387,16-10-25,380.5
2,2,53.59,69.44,15.85,0.7249,60.26,0.793,0.06801,0.007709,0.005073,13.94,0.8916,0.767,0.7534,17-10-14,18-4-22,18-1-2,190,366,18-1-17,381,17-10-22,373.5
3,3,83.59,99.45,15.86,0.6988,90.27,0.7657,0.06686,0.007686,0.004959,13.46,0.8763,0.7398,0.727,18-10-9,19-4-17,18-12-28,190,361,19-1-12,376,18-10-17,368.5
4,4,113.6,129.5,15.9,0.6775,120.3,0.742,0.06449,0.007859,0.004662,13.04,0.8476,0.7155,0.7054,19-10-4,20-4-12,19-12-24,191,357,20-1-8,372,19-10-12,364.5
5,5,143.6,159.6,16,0.6678,150.5,0.7296,0.06188,0.008441,0.004044,12.86,0.8422,0.7008,0.7,20-9-28,21-4-8,20-12-20,192,354,21-1-2,366,20-10-4,360
