,Seas.,Start.t.,End.t.,Length,Base.val.,Peak.t.,Peak.val.,Ampl.,L.deriv.,R.deriv.,L.integral,S.integral,Start.val.,End.val.,season_start_date,season_end_date,peak_date,length_days,phase_peak,season_half_date,phase_seas,season_ensemble_date,phase_ensemble
1,1,21.24,34.54,13.29,0.7047,25.53,0.8362,0.1315,0.02114,0.008154,11.75,1.183,0.753,0.7503,16-9-21,17-2-27,16-11-11,159,315,16-12-10,344,16-10-5,329.5
2,2,51.21,64.48,13.28,0.6834,55.55,0.8186,0.1352,0.02027,0.009149,11.46,1.206,0.7394,0.7244,17-9-16,18-2-22,17-11-7,159,310,17-12-5,338,17-9-30,324
3,3,81.2,94.52,13.32,0.6526,85.53,0.78,0.1274,0.02111,0.008523,10.9,1.108,0.7003,0.6898,18-9-10,19-2-17,18-11-1,160,304,18-11-29,332,18-9-24,318
4,4,111.2,124.6,13.32,0.6376,115.5,0.7656,0.1281,0.02115,0.007897,10.7,1.138,0.6825,0.6811,19-9-5,20-2-13,19-10-27,160,299,19-11-24,327,19-9-19,313
5,5,141.3,154.6,13.31,0.6383,145.5,0.7689,0.1306,0.02154,0.007755,10.75,1.18,0.684,0.6861,20-9-1,21-2-7,20-10-21,160,294,20-11-20,324,20-9-16,309
