"","date","VH_hectareID_NA","VH_sd_hectareID_NA"
"1",2016-01-10,-13.12445,1.626756
"2",2016-01-22,-11.874541,1.475618
"3",2016-02-03,-13.874335,1.766673
"4",2016-02-15,-13.624284,1.673976
"5",2016-02-27,-13.874197,1.68525
"6",2016-03-10,-13.874953,1.691335
"7",2016-04-03,-13.875037,1.681563
"8",2016-04-15,-14.125,1.701547
"9",2016-04-27,-14.124452,1.690654
"10",2016-05-09,-14.374684,1.737185
"11",2016-05-21,-13.125031,1.553821
"12",2016-06-02,-14.374523,1.759373
"13",2016-06-14,-13.625183,1.613619
"14",2016-07-08,-13.875153,1.692519
"15",2016-07-20,-13.375382,1.651805
"16",2016-08-01,-13.875186,1.605061
"17",2016-08-13,-13.625137,1.697536
"18",2016-08-25,-14.374828,1.76333
"19",2016-09-06,-14.124774,1.760546
"20",2016-09-18,-14.248216,1.828106
"21",2016-09-30,-13.624899,1.720899
"22",2016-10-12,-12.875056,1.607069
"23",2016-10-24,-13.748341,1.656433
"24",2016-11-05,-13.874363,1.634108
"25",2016-11-17,-12.62455,1.470058
"26",2016-11-29,-13.125033,1.467845
"27",2016-12-11,-12.87471,1.470294
"28",2016-12-23,-13.125009,1.483167
"29",2017-01-04,-13.874511,1.505946
"30",2017-01-16,-13.874461,1.517053
"31",2017-01-28,-13.874316,1.539945
"32",2017-02-09,-12.124604,1.438378
"33",2017-02-21,-12.624605,1.446238
"34",2017-03-05,-13.874683,1.491079
"35",2017-03-17,-13.624827,1.505956
"36",2017-03-29,-12.625193,1.442442
"37",2017-04-10,-13.375128,1.487755
"38",2017-04-22,-13.875243,1.501948
"39",2017-05-04,-12.87526,1.445175
"40",2017-05-16,-13.874485,1.504164
"41",2017-05-28,-12.874821,1.462451
"42",2017-06-09,-13.624397,1.530532
"43",2017-06-21,-13.874734,1.549509
"44",2017-07-03,-13.625074,1.541244
"45",2017-07-15,-12.874384,1.481111
"46",2017-07-27,-13.875583,1.575624
"47",2017-08-08,-14.124444,1.571697
"48",2017-08-20,-14.246522,1.600186
"49",2017-09-01,-13.875372,1.624343
"50",2017-09-13,-12.874813,1.518702
"51",2017-09-25,-14.125035,1.648808
"52",2017-10-07,-13.874876,1.673545
"53",2017-10-19,-13.875519,1.702866
"54",2017-10-31,-13.625317,1.728561
"55",2017-11-12,-12.247684,1.539834
"56",2017-11-24,-13.375045,1.59641
"57",2017-12-06,-12.624671,1.453334
"58",2017-12-18,-13.625066,1.483138
"59",2017-12-30,-13.87503,1.498828
"60",2018-01-11,-13.624832,1.467674
"61",2018-01-23,-14.124769,1.507808
"62",2018-02-04,-12.124747,1.435364
"63",2018-02-16,-13.124993,1.472352
"64",2018-02-28,-13.624852,1.46139
"65",2018-03-12,-12.624448,1.450586
"66",2018-03-24,-12.875066,1.473465
"67",2018-04-05,-13.62524,1.498026
"68",2018-04-17,-12.875202,1.458018
"69",2018-04-29,-13.874508,1.497062
"70",2018-05-11,-14.124765,1.504514
"71",2018-05-23,-13.375377,1.509655
"72",2018-06-04,-13.625218,1.506303
"73",2018-06-16,-14.124758,1.518424
"74",2018-06-28,-14.124326,1.531887
"75",2018-07-10,-13.874843,1.549077
"76",2018-07-22,-13.624687,1.529089
"77",2018-08-03,-14.125341,1.594285
"78",2018-08-15,-14.124889,1.610747
"79",2018-08-27,-14.374771,1.660614
"80",2018-09-08,-14.374517,1.686171
"81",2018-09-20,-14.125288,1.711969
"82",2018-10-02,-13.875163,1.76925
"83",2018-10-14,-14.124525,1.804327
"84",2018-10-26,-13.125621,1.630719
"85",2018-11-07,-12.874743,1.586039
"86",2018-11-19,-13.624842,1.584974
"87",2018-12-01,-13.874405,1.553803
"88",2018-12-13,-13.874492,1.51117
"89",2018-12-25,-13.625156,1.549351
"90",2019-01-06,-13.874307,1.554119
"91",2019-01-18,-14.124312,1.554617
"92",2019-01-30,-13.374218,1.517186
"93",2019-02-11,-13.874859,1.584767
"94",2019-02-23,-14.124592,1.554935
"95",2019-03-07,-13.75028,1.544793
"96",2019-03-19,-13.874942,1.62308
"97",2019-03-31,-13.874498,1.507578
"98",2019-04-12,-12.875294,1.51062
"99",2019-04-24,-14.246041,1.504007
"100",2019-05-06,-14.124848,1.509866
"101",2019-05-18,-13.624717,1.518859
"102",2019-05-30,-14.124621,1.525562
"103",2019-06-11,-13.124614,1.474719
"104",2019-06-23,-14.125244,1.554416
"105",2019-07-05,-14.374668,1.558535
"106",2019-07-17,-14.747327,1.616446
"107",2019-07-29,-13.874923,1.54374
"108",2019-08-10,-12.875067,1.500248
"109",2019-08-22,-13.87499,1.606439
"110",2019-09-03,-13.875468,1.589454
"111",2019-09-15,-14.374967,1.585834
"112",2019-09-27,-14.247238,1.602541
"113",2019-10-09,-14.125269,1.630359
"114",2019-10-21,-14.124886,1.629894
"115",2019-11-02,-13.750417,1.650974
"116",2019-11-14,-14.124917,1.70732
"117",2019-11-26,-13.124906,1.575213
"118",2019-12-08,-12.375496,1.508014
"119",2019-12-20,-13.874644,1.739141
"120",2020-01-01,-14.124587,1.736176
"121",2020-01-13,-14.245172,1.695945
"122",2020-02-06,-14.124836,1.668717
"123",2020-02-18,-14.124614,1.659828
"124",2020-03-01,-14.124668,1.654692
"125",2020-03-13,-12.750871,1.471582
"126",2020-03-25,-13.247244,1.472222
"127",2020-04-06,-13.625289,1.572453
"128",2020-04-18,-12.875165,1.455357
"129",2020-04-30,-14.125299,1.526935
"130",2020-05-12,-14.124713,1.503178
"131",2020-05-24,-13.374795,1.483908
