"","date","EVI_hectareID_NA","EVI_hectareID_NA","EVI_hectareID_NA","EVI_hectareID_NA","EVI_hectareID_NA","EVI_hectareID_NA"
"77",2020-01-16,0.723133,-0.111539,0.304756,-0.254834,0.249878,0.421225
"78",2020-01-21,0.446493,0.599372,0.401162,0.490887,0.637119,0.683398
"79",2020-01-26,0.240489,0.012674,0.039629,0,0.236935,0.324397
"80",2020-01-31,0.645513,-0.04237,0.392969,0.619788,0.417147,0.600678
"81",2020-02-05,0.360868,0.689683,0.671642,0.632004,0.688699,0.509131
"82",2020-02-10,0.631047,0.555787,0.527586,0.533822,0.521344,0.598654
"83",2020-02-15,0.272707,0.678372,0.533982,0.68525,0.614584,0.49012
"84",2020-02-20,0.596244,0.591369,0.356173,-0.179543,0.233856,0.654858
"85",2020-02-25,0.289697,0.4922,0.487658,0.494333,0.365983,0.381524
"86",2020-03-01,0.163241,0.620006,0.589617,0.210339,0.555641,0.61826
"87",2020-03-06,0.077738,0.054508,0.035918,0.075562,0.004903,0.147228
"88",2020-03-11,0.423851,0.482057,0.620707,0.704839,0.406745,0.544497
"89",2020-03-16,-0.391517,-0.195021,0.395954,0.091235,1.050095,0.86929
"90",2020-03-21,0.487438,0.47639,0.458801,0.43047,0.388315,0.550494
"91",2020-03-26,-0.868952,0.742893,0.69835,0.845626,0.069986,0.922895
"92",2020-03-31,0.122794,0.364162,1.057724,0.716283,0.235707,0.20786
"93",2020-04-05,0.065858,0.1701,0.094007,0.252256,0.429123,0.132345
"94",2020-04-10,-0.014624,0.036033,0.025734,0.016205,-0.006986,0.040912
"95",2020-04-15,0.889746,0.593098,0.585755,0.62355,0.622151,0.485942
"96",2020-04-20,0.580733,0.411574,0.6622,0.647349,0.546058,0.502401
"97",2020-04-25,0.284709,0.181724,0.569331,0.456464,0.478498,0.551294
"98",2020-04-30,0.246895,0.622305,0.636291,0.450786,0.406399,0.651131
"99",2020-05-05,0.465912,0.38205,-0.138563,0.634765,0.121704,-0.105929
"100",2020-05-10,0.385785,0.584659,0.493913,0.682941,0.491603,0.380765
"101",2020-05-15,0.541406,0.502915,0.529402,0.12178,0.524125,0.580862
"102",2020-05-20,0.38977,0.340761,0.409758,0.391624,0.479094,0.332154
"103",2020-05-25,0.442162,0.738868,0.538847,2.007367,0.548221,0.422171
"104",2020-05-30,0.435932,0.58908,0.393231,0.408588,0.428086,0.387723
"105",2020-06-04,0.512816,-0.2217,-0.425668,-0.307901,-0.55287,-0.695185
"106",2020-06-09,0.541792,0.357009,0.602123,0.57177,0.516613,0.568222
"107",2020-06-14,0.193919,0.232179,0.263014,0.241338,0.147617,0.293725
"108",2020-06-19,0.569763,0.328484,0.252759,0.30491,0.384093,0.489826
"109",2020-06-24,0.535711,0.477462,0.514712,0.553101,0.499422,0.559069
"110",2020-06-29,-0.366894,-0.882451,-0.088692,0.179469,0.201901,-0.040084
"111",2020-07-04,0.573678,0.520316,0.576849,0.606861,0.53138,0.596976
"112",2020-07-09,0.587184,0.531811,0.246042,0.151112,0.526316,0.486698
"113",2020-07-14,0.579496,0.166796,0.537135,0.326462,0.477508,0.571436
"114",2020-07-19,0.08121,0.144239,0.165768,0.051995,0.137349,0.160925
"115",2020-07-24,0.257094,0.614137,0.28849,0.688207,0.191898,0.656904
"116",2020-07-29,0.449437,0.544836,0.372694,0.274938,0.661009,0.315115
"117",2020-08-03,0.331499,0.187788,0.225776,0.189749,0.18494,0.345813
"118",2020-08-08,0.436428,0.262774,0.180694,0.344652,0.521999,0.448427
"119",2020-08-13,0.486119,0.665224,0.810897,0.368772,0.423283,0.44552
"120",2020-08-18,0.541401,0.33022,0.50095,0.321751,0.569261,0.772638
"121",2020-08-23,0.334112,0.463828,0.472338,0.603433,0.528977,0.31419
"122",2020-08-28,0.16552,0.178755,0.151341,0.469978,0.690224,0.379982
"123",2020-09-02,0.644856,0.148746,0.649421,0.647599,0.623978,-0.628186
"124",2020-09-07,0.269018,0.373568,0.411771,0.288059,-0.619547,-0.23616
"125",2020-09-12,0.422654,0.596995,0.446063,0.665481,0.595467,0.228063
"126",2020-09-17,0.538452,0.585143,0.588908,0.62365,0.334833,0.63177
"127",2020-09-22,0.611227,-0.04988,-1.387831,-0.155543,0.380173,-0.728445
"128",2020-09-27,0.542465,0.588732,0.518531,0.438072,0.288732,0.651482
"129",2020-10-02,0.517577,0.658654,0.218473,0.134344,0.547781,0.700907
"130",2020-10-07,0.52151,0.497517,0.528004,0.528156,0.502374,0.556355
"131",2020-10-12,0.097938,0.147263,0.065111,0.103753,0.08344,0.151134
"132",2020-10-17,0.444071,0.253034,0.241427,0.146278,0.495744,0.880503
"133",2020-10-22,0.230239,0.403257,0.374434,0.390136,0.37988,0.474905
"134",2020-10-27,0.578651,0.540673,0.418481,0.591498,0.519878,0.573596
"135",2020-11-01,0.036888,0.058963,0.079491,0.028773,0.038627,-0.018209
"136",2020-11-06,0.152218,0.172237,0.163245,0.163586,0.174678,0.145566
"137",2020-11-11,0.592773,0.539524,0.618772,0.606836,0.587055,0.589297
"138",2020-11-16,0.303782,-0.140211,0.351365,0.274102,-0.110393,-0.195733
"139",2020-11-21,0.157344,0.118664,0.061963,0.104252,0.117058,0.176595
"140",2020-11-26,0.218266,0.294536,0.292721,0.232622,0.330772,0.403526
"141",2020-12-01,-0.318424,0.254395,0.645456,0.62991,0.143742,0.659775
"142",2020-12-06,0.892121,0.672912,0.386962,0.906257,0.688623,0.606373
"143",2020-12-11,0.409888,0.591192,0.55021,0.318582,0.584302,0.288337
"144",2020-12-16,0.58141,0.58423,0.313459,0.640195,0.56496,0.608831
"145",2020-12-21,0.380821,0.368488,0.378687,0.647046,0.33293,0.326477
"146",2020-12-26,0.444571,0.469861,0.466292,0.441121,0.479217,0.534705
"147",2020-12-31,-0.280028,0.490004,0.511179,0.050246,0.377734,0.938734
"148",2021-01-05,-0.586727,0.792351,0.108214,0.102222,0.435759,0.583969
"149",2021-01-10,0.285065,0.623563,0.702047,0.396441,0.54874,0.300148
"150",2021-01-15,0.606665,0.378904,0.335511,0.346847,0.869169,0.578008
"151",2021-01-20,0.601599,0.644027,0.34564,0.32674,0.620904,0.674393
"152",2021-01-25,-0.928033,0.61974,0.706189,1.337747,1.401061,0.742211
"153",2021-01-30,0.171147,0.270005,-0.132052,0.372419,0.33169,0.522847
"154",2021-02-04,0.677138,0.415946,0.489792,0.457242,0.500062,0.428833
"155",2021-02-09,0.496438,0.349369,0.354943,0.380604,0.38351,0.38019
"156",2021-02-14,0.564768,0.417207,0.155445,0.540166,0.137105,0.609011
"157",2021-02-19,-0.305525,0.322299,0.594802,0.580671,-1.13082,-0.725983
"158",2021-02-24,0.629892,0.126128,0.465802,0.366893,0.498807,0.308878
"159",2021-03-01,0.431934,0.528944,0.566997,0.596338,0.477239,0.555143
"160",2021-03-06,0.533786,0.512982,0.520806,0.544851,0.525926,0.567686
"161",2021-03-11,0.554993,0.524685,0.547371,0.566378,0.545829,0.50707
"162",2021-03-16,0.581345,0.536613,0.118231,0.550935,0.538562,0.587738
"163",2021-03-21,0.554527,0.398699,0.285335,0.319813,0.533916,0.488485
"164",2021-03-26,-0.308522,0.693654,0.119525,-0.13089,0.517608,0.643306
"165",2021-03-31,0.517806,0.484697,0.514833,0.539012,0.503402,0.531101
"166",2021-04-05,0.190581,0.249588,0.264359,0.264455,0.172973,0.198329
"167",2021-04-10,0.309573,0.286669,0.348315,0.261843,0.427069,0.60078
"168",2021-04-15,0.573764,0.474185,0.430822,0.489428,0.293948,0.516418
"169",2021-04-20,0.592955,-0.232543,0.316006,0.534994,0.375979,0.518442
"170",2021-04-25,0.619259,0.537528,0.325689,0.354232,0.561208,0.591104
"171",2021-04-30,0.348335,0.372445,0.302961,0.377613,0.59443,0.368786
"172",2021-05-05,0.547972,0.56974,0.201445,0.203913,0.559395,0.250478
"173",2021-05-10,0.350201,0.427277,0.557094,0.549057,0.419075,0.404429
"174",2021-05-15,0.533625,0.452459,0.454425,0.503215,0.444149,0.442357
"175",2021-05-20,0.163297,0.496584,0.535673,0.553977,0.335753,0.602311
"176",2021-05-25,0.487762,0.327601,0.314114,0.624656,0.156552,0.67118
"177",2021-05-30,0.563091,0.511174,0.510156,0.298084,0.501329,0.556173
"178",2021-06-04,0.134146,0.092127,0.133512,0.134526,0.142895,0.273769
"179",2021-06-09,0.162863,0.701956,-0.209207,-0.215306,-0.215488,0.242542
