"","/Users/brbell01/Google Drive/PHD/CUNY/Research/R/Phenology/raw/s1/1ha/harmonic/monte_pascoal_s1_1ha_VH_2016_2022_harmonic.csv"
"R2",0.13284143998572
"MAPE",1.8965674527434
