"","season_start_val","peak_val","season_end_val","season_start_date","peak_date","season_end_date","Seas.","Ampl.","length_days","phase_peak"
"1",0.786,0.835,0.7935,2016-07-13,2016-10-05,2016-12-28,1,0.095,168,278
"2",0.77,0.818,0.76,2017-07-08,2017-10-12,2018-01-16,2,0.095,192,284
"3",0.749,0.802,0.7485,2018-07-03,2018-10-07,2019-01-11,3,0.095,192,279
"4",0.739,0.786,0.748,2019-07-10,2019-10-02,2019-12-25,4,0.095,168,274
"5",0.728,0.769,0.7255,2020-07-16,2020-10-08,2020-12-31,5,0.095,168,281
"6",0.707,0.753,0.719,2021-07-11,2021-10-03,2021-12-26,6,0.095,168,275
