system:time_start,RVI_median,fitted
"Jan 30, 2021",0.692,0.698
"Feb 11, 2021",0.691,0.688
"Feb 23, 2021",0.723,0.678
"Mar 7, 2021",0.715,0.67
"Mar 19, 2021",0.686,0.664
"Mar 31, 2021",0.686,0.66
"Apr 12, 2021",0.666,0.658
"Apr 24, 2021",0.676,0.658
"May 6, 2021",0.676,0.66
"May 18, 2021",0.676,0.665
"May 30, 2021",0.682,0.671
"Jun 11, 2021",0.684,0.679
"Jun 23, 2021",0.699,0.688
"Jul 5, 2021",0.67,0.697
"Jul 17, 2021",0.698,0.707
"Jul 29, 2021",0.746,0.717
"Aug 10, 2021",0.723,0.727
"Aug 22, 2021",0.754,0.735
"Sep 3, 2021",0.77,0.743
"Sep 15, 2021",0.777,0.748
"Sep 27, 2021",0.809,0.752
"Oct 9, 2021",0.806,0.753
"Oct 21, 2021",0.808,0.752
"Nov 2, 2021",0.802,0.749
"Nov 14, 2021",0.754,0.744
"Nov 26, 2021",0.676,0.738
"Dec 8, 2021",0.714,0.729
"Dec 20, 2021",0.714,0.719
