"","/Users/brbell01/Google Drive/PHD/CUNY/Research/R/Phenology/raw/s1/1ha/harmonic/ rio_doce_s1_1ha_VV_2016_2022_harmonic.csv"
"R2",0.339724030957202
"MAPE",4.8381580374505
