"","/Users/brbell01/Google Drive/PHD/CUNY/Research/R/Phenology/raw/s1/1ha/harmonic/mata_escura_s1_1ha_RVI_2016_2022_harmonic.csv"
"R2",0.373464220455411
"MAPE",3.13136856256188
