"","/Users/brbell01/Google Drive/PHD/CUNY/Research/R/Phenology/raw/s1/1ha/harmonic/rio_doce_s1_1ha_VH_2016_2022_harmonic.csv"
"R2",0.229678606820079
"MAPE",2.51609668204353
