"","/Users/brbell01/Google Drive/PHD/CUNY/Research/R/Phenology/raw/s1/1ha/harmonic/ rio_doce_s1_1ha_RVI_2016_2022_harmonic.csv"
"R2",0.599475546888929
"MAPE",3.86179574606738
