"","/Users/brbell01/Google Drive/PHD/CUNY/Research/R/Phenology/raw/s1/1ha/harmonic/mata_escura_s1_1ha_VV_2016_2022_harmonic.csv"
"R2",0.164565631979844
"MAPE",4.12029454264342
