"","/Users/brbell01/Google Drive/PHD/CUNY/Research/R/Phenology/raw/s1/1ha/harmonic/sooretama_s1_1ha_VV_2016_2022_harmonic.csv"
"R2",0.346937314754013
"MAPE",6.57917284801417
