"","/Users/brbell01/Google Drive/PHD/CUNY/Research/R/Phenology/raw/s1/1ha/harmonic/mata_escura_s1_1ha_VH_2016_2022_harmonic.csv"
"R2",0.139597186827403
"MAPE",3.07270174921998
