"","/Users/brbell01/Google Drive/PHD/CUNY/Research/R/Phenology/raw/s1/1ha/harmonic/sooretama_s1_1ha_VH_2016_2022_harmonic.csv"
"R2",0.323497072133223
"MAPE",2.77829891795712
