"","system.time_start","RVI_median","fitted"
"153","Feb 12, 2021",0.686,0.71
"154","Feb 24, 2021",0.679,0.705
"155","Mar 8, 2021",0.701,0.698
"156","Mar 20, 2021",0.704,0.692
"157","Apr 1, 2021",0.689,0.685
"158","Apr 13, 2021",0.665,0.679
"159","Apr 25, 2021",0.673,0.673
"160","May 7, 2021",0.687,0.667
"161","Aug 23, 2021",0.698,0.668
"162","Sep 4, 2021",0.691,0.673
"163","Sep 16, 2021",0.671,0.678
"164","Sep 28, 2021",0.726,0.683
"165","Oct 10, 2021",0.761,0.688
"166","Oct 22, 2021",0.706,0.693
"167","Nov 3, 2021",0.736,0.697
"168","Nov 15, 2021",0.724,0.7
"169","Nov 27, 2021",0.706,0.702
"170","Dec 9, 2021",0.745,0.703
"171","Dec 21, 2021",0.738,0.703
