"","/Users/brbell01/Google Drive/PHD/CUNY/Research/R/Phenology/raw/s1/1ha/harmonic/sooretama_s1_1ha_RVI_2016_2022_harmonic.csv"
"R2",0.504621797521858
"MAPE",7.74408387675671
