"","season_start_val","peak_val","season_end_val","season_start_date","peak_date","season_end_date","Seas.","Ampl.","length_days","phase_peak","season_half_date","phase_seas","season_ensemble_date","phase_ensemble"
"1",-13.257,-12.899,-13.2605,2016-09-18,2016-12-11,2017-03-05,1,0.786999999999999,168,345,2016-03-25,84,2015-08-24,235
"2",-13.332,-12.977,-13.3035,2017-09-13,2017-12-06,2018-02-28,2,0.786999999999999,168,339,2017-03-26,84,2016-08-26,237
"3",-13.448,-13.06,-13.5185,2018-09-08,2018-12-13,2019-03-19,3,0.786999999999999,192,346,2018-04-07,96,2017-08-29,240
"4",-13.564,-13.137,-13.56,2019-09-03,2019-12-08,2020-03-13,4,0.786999999999999,192,341,2019-04-07,96,2018-09-01,243
"5",-13.597,-13.221,-13.689,2020-09-09,2020-12-14,2021-03-20,5,0.786999999999999,192,348,2020-04-06,96,2019-08-28,239
"6",-13.713,-13.297,NA,2021-09-04,2021-12-09,2022-03-15,6,0.786999999999999,192,342,2021-04-07,96,2020-08-31,242
