"","date","VH_hectareID_11","VH_hectareID_12","VH_hectareID_13","VH_hectareID_2","VH_hectareID_6"
"1",2016-01-10,-12.268802,-12.049908,-11.840715,-12.241921,-12.735683
"2",2016-01-22,-10.982997,-12.330332,-12.730153,-11.853359,-11.520331
"3",2016-02-03,-12.775109,-13.363645,-12.597156,-12.924057,-13.041595
"4",2016-02-03,-12.775109,-13.363645,-12.597156,-12.924057,-13.103569
"5",2016-02-03,-12.775109,-13.363645,-12.597156,-12.891632,-13.041595
"6",2016-02-03,-12.775109,-13.363645,-12.597156,-12.891632,-13.103569
"7",2016-02-03,-12.775109,-13.363645,-12.700881,-12.924057,-13.041595
"8",2016-02-03,-12.775109,-13.363645,-12.700881,-12.924057,-13.103569
"9",2016-02-03,-12.775109,-13.363645,-12.700881,-12.891632,-13.041595
"10",2016-02-03,-12.775109,-13.363645,-12.700881,-12.891632,-13.103569
"11",2016-02-03,-12.775109,-13.32601,-12.597156,-12.924057,-13.041595
"12",2016-02-03,-12.775109,-13.32601,-12.597156,-12.924057,-13.103569
"13",2016-02-03,-12.775109,-13.32601,-12.597156,-12.891632,-13.041595
"14",2016-02-03,-12.775109,-13.32601,-12.597156,-12.891632,-13.103569
"15",2016-02-03,-12.775109,-13.32601,-12.700881,-12.924057,-13.041595
"16",2016-02-03,-12.775109,-13.32601,-12.700881,-12.924057,-13.103569
"17",2016-02-03,-12.775109,-13.32601,-12.700881,-12.891632,-13.041595
"18",2016-02-03,-12.775109,-13.32601,-12.700881,-12.891632,-13.103569
"19",2016-02-03,-12.82514,-13.363645,-12.597156,-12.924057,-13.041595
"20",2016-02-03,-12.82514,-13.363645,-12.597156,-12.924057,-13.103569
"21",2016-02-03,-12.82514,-13.363645,-12.597156,-12.891632,-13.041595
"22",2016-02-03,-12.82514,-13.363645,-12.597156,-12.891632,-13.103569
"23",2016-02-03,-12.82514,-13.363645,-12.700881,-12.924057,-13.041595
"24",2016-02-03,-12.82514,-13.363645,-12.700881,-12.924057,-13.103569
"25",2016-02-03,-12.82514,-13.363645,-12.700881,-12.891632,-13.041595
"26",2016-02-03,-12.82514,-13.363645,-12.700881,-12.891632,-13.103569
"27",2016-02-03,-12.82514,-13.32601,-12.597156,-12.924057,-13.041595
"28",2016-02-03,-12.82514,-13.32601,-12.597156,-12.924057,-13.103569
"29",2016-02-03,-12.82514,-13.32601,-12.597156,-12.891632,-13.041595
"30",2016-02-03,-12.82514,-13.32601,-12.597156,-12.891632,-13.103569
"31",2016-02-03,-12.82514,-13.32601,-12.700881,-12.924057,-13.041595
"32",2016-02-03,-12.82514,-13.32601,-12.700881,-12.924057,-13.103569
"33",2016-02-03,-12.82514,-13.32601,-12.700881,-12.891632,-13.041595
"34",2016-02-03,-12.82514,-13.32601,-12.700881,-12.891632,-13.103569
"35",2016-02-15,-12.695376,-12.888955,-12.23329,-12.441308,-11.493172
"36",2016-02-27,-13.495592,-12.759213,-13.630172,-12.634581,-12.090041
"37",2016-03-10,-12.803713,-13.487149,-13.273201,-13.826067,-12.543138
"38",2016-04-03,-13.083675,-12.775654,-13.111391,-13.444676,-13.143956
"39",2016-04-15,-13.57557,-13.250858,-13.97671,-12.958129,-13.200112
"40",2016-04-27,-13.53718,-12.637173,-14.110917,-13.613555,-13.099983
"41",2016-05-09,-13.583666,-13.321793,-13.919579,-12.742148,-14.011242
"42",2016-05-21,-12.901567,-11.829137,-13.4668,-12.522605,-12.658124
"43",2016-06-02,-13.751106,-13.174308,-14.356845,-13.547091,-12.758633
"44",2016-06-14,-13.357615,-12.666322,-13.617817,-13.352592,-12.953098
"45",2016-07-08,-12.667453,-12.898264,-13.228246,-13.413021,-12.931348
"46",2016-07-20,-12.654806,-12.296723,-13.098589,-13.081088,-12.184542
"47",2016-08-01,-13.079673,-13.76874,-14.190175,-13.59361,-13.7685
"48",2016-08-13,-13.325005,-13.116593,-13.581587,-13.326178,-12.986877
"49",2016-08-25,-13.438206,-13.306926,-14.162354,-13.400563,-14.089208
"50",2016-09-06,-13.464991,-13.197416,-12.981187,-13.072157,-13.652523
"51",2016-09-18,-13.226821,-13.23197,-13.55184,-13.028494,-13.220342
"52",2016-09-30,-12.326741,-13.021761,-12.745621,-12.299007,-12.435486
"53",2016-10-12,-11.884494,-12.585312,-12.773263,-11.781677,-12.504312
"54",2016-10-24,-12.127083,-13.323759,-13.522554,-12.173003,-12.924163
"55",2016-11-05,-12.234812,-13.476156,-13.580077,-12.216294,-12.978412
"56",2016-11-17,-11.734812,-12.224823,-12.352433,-11.820485,-11.734895
"57",2016-11-29,-12.520082,-12.610988,-12.823448,-12.732128,-12.240013
"58",2016-12-11,-11.913374,-12.400765,-12.916613,-12.055724,-12.0834
"59",2016-12-23,-12.597307,-12.643818,-12.965194,-12.547898,-12.593952
"60",2017-01-04,-13.198824,-13.083117,-14.079007,-13.700945,-13.496789
"61",2017-01-16,-12.706179,-13.261056,-13.766451,-13.013607,-13.016004
"62",2017-01-28,-12.985377,-12.475285,-13.926534,-13.294391,-12.54022
"63",2017-02-09,-11.633443,-11.48907,-12.777425,-12.22942,-11.857023
"64",2017-02-21,-12.332207,-12.509976,-12.556439,-12.356454,-11.788815
"65",2017-03-05,-12.948067,-12.762285,-13.241958,-13.527662,-13.362425
"66",2017-03-17,-13.611472,-13.226337,-13.482676,-12.706169,-12.775333
"67",2017-03-29,-12.699039,-12.917795,-12.859624,-12.693153,-12.355205
"68",2017-04-10,-13.010572,-12.913465,-13.326445,-13.368855,-13.776071
