"","season_start_val","peak_val","season_end_val","season_start_date","peak_date","season_end_date","Seas.","Ampl.","length_days","phase"
"1",0.801,0.85,0.801333333333333,2019-07-15,2019-04-10,2020-01-23,1,0.103,192,99
"2",0.795,0.848,0.804,2020-07-21,2020-04-04,2021-01-29,2,0.103,191,94
"3",0.798,0.847,NA,2021-07-16,2021-04-11,2022-01-12,3,0.103,180,100
