"","season_start_val","peak_val","season_end_val","season_start_date","peak_date","season_end_date","Seas.","Ampl.","length_days","phase"
"1",0.833,0.888,0.833,2019-07-24,2019-04-07,2020-02-01,1,0.106,192,96
"2",0.822,0.872,0.812,2020-07-18,2020-04-13,2021-01-26,2,0.106,191,103
"3",0.802,0.855,NA,2021-07-25,2021-04-08,2022-02-02,3,0.106,192,97
