"","season_start_val","peak_val","season_end_val","season_start_date","peak_date","season_end_date","Seas.","Ampl.","length_days","phase"
"1",0.797,0.859,0.801666666666667,2019-06-21,2019-03-05,2019-12-30,1,0.119,192,63
"2",0.786,0.844,0.781333333333333,2020-06-15,2020-03-11,2020-12-24,2,0.119,192,70
"3",0.766,0.828,0.77,2021-06-22,2021-03-06,2021-12-31,3,0.119,192,64
