system:index,bottom,id,left,mean_slope,right,top,.geo
0000000000000000001c,-18.93543998800001,13076,-40.194890092,3.553,-40.19399409200001,-18.93454398800001,"{""type"":""Polygon"",""coordinates"":[[[-40.19488980061921,-18.935438837642153],[-40.19399357161092,-18.935438828831074],[-40.193993571610925,-18.934542546025185],[-40.19488980061921,-18.93454256328195],[-40.19488980061921,-18.935438837642153]]]}"
00000000000000000037,-18.970383988000012,23321,-40.146506092,2.123,-40.145610092000005,-18.96948798800001,"{""type"":""Polygon"",""coordinates"":[[[-40.146504127911,-18.970384794648496],[-40.145612326580284,-18.970384792237205],[-40.145612326580284,-18.96948851469587],[-40.146504127910994,-18.969488525494903],[-40.146504127911,-18.970384794648496]]]}"
0000000000000000004a,-19.04027198800001,29825,-40.116042092,1.491,-40.115146092,-19.03937598800001,"{""type"":""Polygon"",""coordinates"":[[[-40.116043961137166,-19.04027236130851],[-40.11514771931304,-19.040272350720365],[-40.11514771931304,-19.039376041615],[-40.116043961137166,-19.039376060618746],[-40.116043961137166,-19.04027236130851]]]}"
00000000000000000026,-19.03668798800001,15835,-40.182346092,2.498,-40.181450092000006,-19.03579198800001,"{""type"":""Polygon"",""coordinates"":[[[-40.182346362853664,-19.03668720184453],[-40.181450101176274,-19.036687201110237],[-40.181450101176274,-19.035790932326115],[-40.18234636285367,-19.03579094149452],[-40.182346362853664,-19.03668720184453]]]}"
00000000000000000057,-18.999951988000014,38096,-40.076618092,2.063,-40.07572209200001,-18.99905598800001,"{""type"":""Polygon"",""coordinates"":[[[-40.07661663940105,-18.99995315014302],[-40.07572035464629,-18.999953097572696],[-40.07572035464629,-18.99905687035336],[-40.076616639401045,-18.999056856720994],[-40.07661663940105,-18.99995315014302]]]}"
0000000000000000002d,-19.03489598800001,17345,-40.175178092,4.581,-40.174282092000006,-19.03399998800001,"{""type"":""Polygon"",""coordinates"":[[[-40.17517612611874,-19.034894610375723],[-40.1742842849167,-19.03489463255958],[-40.174284284916695,-19.033998377706542],[-40.17517612611874,-19.03399836391332],[-40.17517612611874,-19.034894610375723]]]}"
0000000000000000005d,-19.03489598800001,41537,-40.060490092,4.543,-40.059594092000005,-19.03399998800001,"{""type"":""Polygon"",""coordinates"":[[[-40.06048803454957,-19.034894624628944],[-40.05959620220775,-19.03489461840795],[-40.05959620220775,-19.03399840546883],[-40.06048803454957,-19.033998345414453],[-40.06048803454957,-19.034894624628944]]]}"
0000000000000000005f,-19.03310398800001,42669,-40.055114092,8.154,-40.054218092000006,-19.03220798800001,"{""type"":""Polygon"",""coordinates"":[[[-40.055114858920724,-19.03310209068561],[-40.05421856575479,-19.033102047323172],[-40.05421856575479,-19.032205790782534],[-40.05511485892073,-19.032205767906724],[-40.055114858920724,-19.03310209068561]]]}"
0000000000000000000e,-18.92468798800001,9473,-40.211914092,4.069,-40.211018092,-18.92379198800001,"{""type"":""Polygon"",""coordinates"":[[[-40.21191465137847,-18.92468793891117],[-40.21101836667656,-18.924687950429657],[-40.21101836667656,-18.92379172104755],[-40.21191465137847,-18.923791717980485],[-40.21191465137847,-18.92468793891117]]]}"
00000000000000000016,-18.92468798800001,11552,-40.202058092,4.018,-40.20116209200001,-18.92379198800001,"{""type"":""Polygon"",""coordinates"":[[[-40.202060083358056,-18.924687920394486],[-40.20116380624051,-18.92468797374074],[-40.20116380624051,-18.92379165144777],[-40.202060083358056,-18.92379168103899],[-40.202060083358056,-18.924687920394486]]]}"
0000000000000000004f,-18.994575988000012,31475,-40.107978092,2.74,-40.107082092000006,-18.99367998800001,"{""type"":""Polygon"",""coordinates"":[[[-40.10797745756485,-18.994575475976323],[-40.10708117304084,-18.99457548336462],[-40.10708117304084,-18.993679198089165],[-40.10797745756486,-18.99367919911822],[-40.10797745756485,-18.994575475976323]]]}"
00000000000000000031,-19.02951998800001,19040,-40.167114092000006,3.256,-40.16621809200001,-19.02862398800001,"{""type"":""Polygon"",""coordinates"":[[[-40.16711409319433,-19.029521415231578],[-40.166217836676175,-19.02952140625067],[-40.166217836676175,-19.028625170499165],[-40.167114093194336,-19.028625113361365],[-40.16711409319433,-19.029521415231578]]]}"
00000000000000000036,-19.02951998800001,22631,-40.150090092000006,3.539,-40.14919409200001,-19.02862398800001,"{""type"":""Polygon"",""coordinates"":[[[-40.15008924259651,-19.029521391468958],[-40.14919296458533,-19.02952142957163],[-40.14919296458533,-19.02862510828037],[-40.15008924259651,-19.028625153166363],[-40.15008924259651,-19.029521391468958]]]}"
0000000000000000006f,-19.02951998800001,53816,-40.00225009200001,3.324,-40.00135409200001,-19.02862398800001,"{""type"":""Polygon"",""coordinates"":[[[-40.00225217134768,-19.029521441713634],[-40.001355950999944,-19.029521380310552],[-40.001355950999944,-19.028625165002627],[-40.00225217134768,-19.02862516011191],[-40.00225217134768,-19.029521441713634]]]}"
00000000000000000077,-19.02951998800001,59297,-39.976266092,2.123,-39.975370092000006,-19.02862398800001,"{""type"":""Polygon"",""coordinates"":[[[-39.97626459151235,-19.029521414048027],[-39.975368297903536,-19.029521394041556],[-39.975368297903536,-19.028625159792846],[-39.97626459151235,-19.02862511347911],[-39.97626459151235,-19.029521414048027]]]}"
0000000000000000000d,-18.95783998800001,9132,-40.213706092,3.883,-40.212810092000005,-18.95694398800001,"{""type"":""Polygon"",""coordinates"":[[[-40.21370725827917,-18.957841388633476],[-40.21281092257175,-18.957841372717105],[-40.21281092257175,-18.95694510576028],[-40.213707258279165,-18.956945055637128],[-40.21370725827917,-18.957841388633476]]]}"
0000000000000000001e,-18.95783998800001,13668,-40.192202092,10.319,-40.191306092000005,-18.95694398800001,"{""type"":""Polygon"",""coordinates"":[[[-40.19220099506415,-18.957841402898477],[-40.19130472557638,-18.95784136344478],[-40.19130472557639,-18.956945117315637],[-40.19220099506415,-18.956945090706085],[-40.19220099506415,-18.957841402898477]]]}"
0000000000000000005e,-18.992783988000006,42246,-40.056906092000006,1.458,-40.05601009200001,-18.99188798800001,"{""type"":""Polygon"",""coordinates"":[[[-40.056907405100084,-18.992782884351826],[-40.056011138702594,-18.992782848377335],[-40.056011138702594,-18.991886612998094],[-40.05690740510009,-18.991886582751896],[-40.056907405100084,-18.992782884351826]]]}"
00000000000000000059,-19.02772798800001,38505,-40.074826092,2.013,-40.073930092000005,-19.02683198800001,"{""type"":""Polygon"",""coordinates"":[[[-40.07482405649093,-19.02772886110691],[-40.07393228087952,-19.027728850825852],[-40.07393228087951,-19.026832575594742],[-40.07482405649093,-19.026832594238822],[-40.07482405649093,-19.02772886110691]]]}"
00000000000000000061,-19.02772798800001,43041,-40.053322092,4.907,-40.052426092000005,-19.02683198800001,"{""type"":""Polygon"",""coordinates"":[[[-40.053322259205096,-19.027728862838647],[-40.05242601750593,-19.027728885954836],[-40.05242601750594,-19.026832558364564],[-40.053322259205096,-19.026832618285095],[-40.053322259205096,-19.027728862838647]]]}"
00000000000000000063,-19.02772798800001,45309,-40.042570092000005,4.42,-40.04167409200001,-19.02683198800001,"{""type"":""Polygon"",""coordinates"":[[[-40.0425714053008,-19.027728880131356],[-40.04167508137429,-19.02772888464381],[-40.04167508137429,-19.026832605602536],[-40.0425714053008,-19.026832609486913],[-40.0425714053008,-19.027728880131356]]]}"
0000000000000000007b,-19.062671988000012,65004,-39.949386092000005,2.337,-39.94849009200001,-19.06177598800001,"{""type"":""Polygon"",""coordinates"":[[[-39.94938511485279,-19.06267037413959],[-39.94848881381735,-19.062670380035875],[-39.94848881381735,-19.06177406851916],[-39.94938511485278,-19.061774070991238],[-39.94938511485279,-19.06267037413959]]]}"
0000000000000000007c,-19.062671988000012,66516,-39.942218092000005,8.42,-39.94132209200001,-19.06177598800001,"{""type"":""Polygon"",""coordinates"":[[[-39.942219350330866,-19.062670374114436],[-39.94132302135687,-19.0626703857985],[-39.941323021356865,-19.061774082119573],[-39.942219350330866,-19.06177407880211],[-39.942219350330866,-19.062670374114436]]]}"
00000000000000000014,-18.92110398800001,10792,-40.205642092000005,1.911,-40.20474609200001,-18.92020798800001,"{""type"":""Polygon"",""coordinates"":[[[-40.205640686935695,-18.92110286086942],[-40.20474446375634,-18.92110283015369],[-40.20474446375634,-18.920206555621316],[-40.205640686935695,-18.920206594786706],[-40.205640686935695,-18.92110286086942]]]}"
0000000000000000002c,-18.95425598800001,17255,-40.175178092,7.687,-40.174282092000006,-18.95335998800001,"{""type"":""Polygon"",""coordinates"":[[[-40.17517612611874,-18.95425629152828],[-40.174284284916695,-18.95425622928961],[-40.174284284916695,-18.95335998577939],[-40.17517612611874,-18.953359981896398],[-40.17517612611874,-18.95425629152828]]]}"
00000000000000000003,-18.989199988000006,4442,-40.236106092,2.472,-40.235210092,-18.98830398800001,"{""type"":""Polygon"",""coordinates"":[[[-40.236105331379875,-18.989197744449637],[-40.23520902148565,-18.989197735833464],[-40.235209021485645,-18.98830595345824],[-40.236105331379875,-18.988305970485445],[-40.236105331379875,-18.989197744449637]]]}"
00000000000000000009,-19.02414398800001,7694,-40.220874092,2.566,-40.219978092000005,-19.02324798800001,"{""type"":""Polygon"",""coordinates"":[[[-40.22087301071679,-19.024143722730003],[-40.21997670502886,-19.024143730210426],[-40.21997670502886,-19.023247499360373],[-40.22087301071679,-19.02324750032587],[-40.22087301071679,-19.024143722730003]]]}"
0000000000000000004c,-19.02414398800001,30752,-40.111562092,3.448,-40.110666092,-19.02324798800001,"{""type"":""Polygon"",""coordinates"":[[[-40.111562617712934,-19.024143744931692],[-40.110666308738544,-19.02414377624001],[-40.110666308738544,-19.023247486312933],[-40.111562617712934,-19.02324746342091],[-40.111562617712934,-19.024143744931692]]]}"
0000000000000000002f,-18.952463988000012,18387,-40.169802092000005,6.848,-40.16890609200001,-18.95156798800001,"{""type"":""Polygon"",""coordinates"":[[[-40.16980293807632,-18.952463658680248],[-40.168906643895895,-18.95246370843556],[-40.168906643895895,-18.951567421242355],[-40.16980293807632,-18.951567379925265],[-40.16980293807632,-18.952463658680248]]]}"
00000000000000000024,-18.98740798800001,15213,-40.185034092,2.169,-40.184138092000005,-18.98651198800001,"{""type"":""Polygon"",""coordinates"":[[[-40.18503522309972,-18.987409634761615],[-40.18413892381688,-18.987409655915094],[-40.18413892381688,-18.98651337722212],[-40.18503522309972,-18.986513364508067],[-40.18503522309972,-18.987409634761615]]]}"
00000000000000000064,-18.98740798800001,45642,-40.040778092,1.531,-40.039882092000006,-18.98651198800001,"{""type"":""Polygon"",""coordinates"":[[[-40.0407788223222,-18.98740968055346],[-40.039882549898074,-18.98740964807942],[-40.039882549898074,-18.986513431369545],[-40.0407788223222,-18.986513397607883],[-40.0407788223222,-18.98740968055346]]]}"
00000000000000000046,-19.02235198800001,28860,-40.120522092,8.551,-40.11962609200001,-19.02145598800001,"{""type"":""Polygon"",""coordinates"":[[[-40.12052090524161,-19.022351164425647],[-40.119624652368366,-19.02235118542371],[-40.119624652368366,-19.021454911861106],[-40.12052090524161,-19.02145489928124],[-40.12052090524161,-19.022351164425647]]]}"
00000000000000000060,-19.02235198800001,42846,-40.054218092,7.343,-40.053322092,-19.02145598800001,"{""type"":""Polygon"",""coordinates"":[[[-40.05421856575479,-19.02235122359873],[-40.053322259205096,-19.022351222668576],[-40.053322259205096,-19.021454923908735],[-40.05421856575479,-19.021454933239394],[-40.05421856575479,-19.02235122359873]]]}"
00000000000000000043,-19.05729598800001,27387,-40.127690092,3.718,-40.12679409200001,-19.05639998800001,"{""type"":""Polygon"",""coordinates"":[[[-40.127691147767344,-19.057297205997205],[-40.12679492425548,-19.057297176706037],[-40.12679492425548,-19.05640091255867],[-40.12769114776734,-19.056400875678214],[-40.127691147767344,-19.057297205997205]]]}"
00000000000000000078,-19.05729598800001,60273,-39.971786092,9.286,-39.970890092000005,-19.05639998800001,"{""type"":""Polygon"",""coordinates"":[[[-39.97178761225425,-19.057297147534975],[-39.97089133045163,-19.05729718705197],[-39.97089133045163,-19.05640088081377],[-39.97178761225425,-19.056400924381688],[-39.97178761225425,-19.057297147534975]]]}"
00000000000000000080,-19.05729598800001,71991,-39.916234092,1.134,-39.915338092000006,-19.05639998800001,"{""type"":""Polygon"",""coordinates"":[[[-39.916236174003245,-19.057297178190126],[-39.915339851891915,-19.057297160958996],[-39.915339851891915,-19.056400859263086],[-39.91623617400324,-19.056400884853904],[-39.916236174003245,-19.057297178190126]]]}"
00000000000000000039,-18.985615988000006,23338,-40.146506092,10.936,-40.145610092000005,-18.98471998800001,"{""type"":""Polygon"",""coordinates"":[[[-40.146504127910994,-18.985617127306533],[-40.145612326580284,-18.98561711833687],[-40.145612326580284,-18.984720856695336],[-40.146504127910994,-18.984720799500366],[-40.146504127910994,-18.985617127306533]]]}"
00000000000000000002,-19.02055998800001,4099,-40.237898092,9.152,-40.23700209200001,-19.01966398800001,"{""type"":""Polygon"",""coordinates"":[[[-40.23789783259069,-19.020558603625766],[-40.23700154975294,-19.02055860497981],[-40.23700154975294,-19.019662324795952],[-40.23789783259069,-19.019662331893063],[-40.23789783259069,-19.020558603625766]]]}"
00000000000000000006,-19.02055998800001,5800,-40.22983409200001,7.331,-40.22893809200001,-19.01966398800001,"{""type"":""Polygon"",""coordinates"":[[[-40.22983579215464,-19.020558659811222],[-40.228939543648536,-19.020558640223964],[-40.22893954364854,-19.01966235852749],[-40.22983579215464,-19.019662386563283],[-40.22983579215464,-19.020558659811222]]]}"
0000000000000000007a,-19.055503988000012,63673,-39.955658092,7.333,-39.954762092,-19.05460798800001,"{""type"":""Polygon"",""coordinates"":[[[-39.95565908475289,-19.05550457325783],[-39.95476279846903,-19.05550457512225],[-39.95476279846903,-19.05460834912272],[-39.95565908475288,-19.054608280906006],[-39.95565908475289,-19.05550457325783]]]}"
0000000000000000007e,-19.055503988000012,69532,-39.92788209200001,1.918,-39.92698609200001,-19.05460798800001,"{""type"":""Polygon"",""coordinates"":[[[-39.92788331194243,-19.055504577620404],[-39.92698700557579,-19.055504588509972],[-39.92698700557579,-19.05460832745053],[-39.92788331194243,-19.05460832492359],[-39.92788331194243,-19.055504577620404]]]}"
00000000000000000072,-19.01876798800001,55505,-39.994186092,2.273,-39.993290092,-19.017871988000014,"{""type"":""Polygon"",""coordinates"":[[[-39.994185708019245,-19.01876610335913],[-39.993289367626524,-19.018766110648293],[-39.993289367626524,-19.017869786015403],[-39.99418570801925,-19.017869787111046],[-39.994185708019245,-19.01876610335913]]]}"
00000000000000000013,-18.91035198800001,10402,-40.207434092,4.594,-40.206538092,-18.90945598800001,"{""type"":""Polygon"",""coordinates"":[[[-40.20743324885137,-18.91035197772532],[-40.20653697464575,-18.91035195247657],[-40.20653697464575,-18.909455662428513],[-40.20743324885137,-18.909455696128944],[-40.20743324885137,-18.91035197772532]]]}"
00000000000000000062,-19.01518398800001,45295,-40.042570092000005,10.205,-40.04167409200001,-19.014287988000014,"{""type"":""Polygon"",""coordinates"":[[[-40.042571405300805,-19.01518543163274],[-40.04167508137429,-19.01518539326884],[-40.04167508137429,-19.014289161907822],[-40.0425714053008,-19.014289134027425],[-40.042571405300805,-19.01518543163274]]]}"
0000000000000000006a,-19.01518398800001,49453,-40.022858092,4.008,-40.021962092,-19.014287988000014,"{""type"":""Polygon"",""coordinates"":[[[-40.02285772154422,-19.01518537999067],[-40.02196141666839,-19.01518542547801],[-40.02196141666839,-19.01428915878319],[-40.02285772154422,-19.01428912168813],[-40.02285772154422,-19.01518537999067]]]}"
00000000000000000055,-19.05012798800001,37207,-40.081098092000005,1.875,-40.08020209200001,-19.04923198800001,"{""type"":""Polygon"",""coordinates"":[[[-40.08109801854809,-19.05012694324125],[-40.0802017226056,-19.050126964280246],[-40.0802017226056,-19.049230662985035],[-40.08109801854809,-19.049230650351717],[-40.08109801854809,-19.05012694324125]]]}"
00000000000000000038,-18.978447988000006,23330,-40.146506092,2.687,-40.145610092000005,-18.97755198800001,"{""type"":""Polygon"",""coordinates"":[[[-40.146504127910994,-18.978446899568965],[-40.145612326580284,-18.97844689805538],[-40.145612326580284,-18.977550589445165],[-40.146504127910994,-18.977550599346117],[-40.146504127910994,-18.978446899568965]]]}"
0000000000000000003f,-19.01339198800001,25637,-40.135754092000006,7.774,-40.13485809200001,-19.01249598800001,"{""type"":""Polygon"",""coordinates"":[[[-40.13575319516723,-19.01339289669551],[-40.13485693632078,-19.013392848653318],[-40.13485693632078,-19.01249660319847],[-40.13575319516723,-19.012496585095132],[-40.13575319516723,-19.01339289669551]]]}"
00000000000000000074,-19.01339198800001,57011,-39.987018092,7.771,-39.986122092,-19.01249598800001,"{""type"":""Polygon"",""coordinates"":[[[-39.987019937164376,-19.013392864293174],[-39.98612364680613,-19.013392881613846],[-39.98612364680613,-19.012496585067403],[-39.987019937164376,-19.012496576129294],[-39.987019937164376,-19.013392864293174]]]}"
0000000000000000004e,-18.97665598800001,31266,-40.108874092,5.207,-40.107978092,-18.97575998800001,"{""type"":""Polygon"",""coordinates"":[[[-40.10887372866303,-18.976654326833927],[-40.10797745756486,-18.97665432114056],[-40.10797745756486,-18.975758038518396],[-40.10887372866303,-18.975758052630628],[-40.10887372866303,-18.976654326833927]]]}"
0000000000000000007f,-19.04654398800001,70089,-39.925194092000005,2.114,-39.92429809200001,-19.04564798800001,"{""type"":""Polygon"",""coordinates"":[[[-39.925194509792085,-19.04654177595985],[-39.924298163579316,-19.046541834450295],[-39.924298163579316,-19.045649991911546],[-39.925194509792085,-19.04565001648595],[-39.925194509792085,-19.04654177595985]]]}"
00000000000000000017,-18.974863988000006,12175,-40.199370092,8.599,-40.198474092000005,-18.97396798800001,"{""type"":""Polygon"",""coordinates"":[[[-40.199371211504996,-18.97486179863878],[-40.1984749719307,-18.97486176487063],[-40.19847497193071,-18.97396991640241],[-40.199371211504996,-18.973969958572486],[-40.199371211504996,-18.97486179863878]]]}"
00000000000000000030,-19.044751988000012,18679,-40.168906092,4.359,-40.168010092,-19.04385598800001,"{""type"":""Polygon"",""coordinates"":[[[-40.168906643895895,-19.044753691408694],[-40.16801033624042,-19.04475370910492],[-40.16801033624042,-19.04385743235522],[-40.168906643895895,-19.043857423089303],[-40.168906643895895,-19.044753691408694]]]}"
00000000000000000032,-18.97307198800001,19733,-40.163530092,2.592,-40.162634092000005,-18.97217598800001,"{""type"":""Polygon"",""coordinates"":[[[-40.16352898629228,-18.973073648202913],[-40.16263267588888,-18.97307368014056],[-40.16263267588888,-18.972177403271637],[-40.163528986292285,-18.97217737976876],[-40.16352898629228,-18.973073648202913]]]}"
0000000000000000002e,-19.00801598800001,17504,-40.174282092000006,9.815,-40.17338609200001,-19.007119988000014,"{""type"":""Polygon"",""coordinates"":[[[-40.174284284916695,-19.008015180206],[-40.17338805811732,-19.008015186974227],[-40.17338805811732,-19.00711887710747],[-40.174284284916695,-19.007118878773557],[-40.174284284916695,-19.008015180206]]]}"
0000000000000000004d,-19.00801598800001,30923,-40.110666092,7.847,-40.109770092000005,-19.007119988000014,"{""type"":""Polygon"",""coordinates"":[[[-40.110666308738544,-19.00801518224873],[-40.10977006449418,-19.008015184916445],[-40.10977006449418,-19.007118873474983],[-40.110666308738544,-19.007118879224112],[-40.110666308738544,-19.00801518224873]]]}"
00000000000000000054,-19.04295998800001,35687,-40.088266092000005,3.895,-40.08737009200001,-19.04206398800001,"{""type"":""Polygon"",""coordinates"":[[[-40.0882682944248,-19.042961146236955],[-40.087371949358584,-19.04296118938128],[-40.087371949358584,-19.0420649078226],[-40.0882682944248,-19.042064873086883],[-40.0882682944248,-19.042961146236955]]]}"
00000000000000000008,-18.971279988000006,7446,-40.221770092,2.546,-40.220874092,-18.97038398800001,"{""type"":""Polygon"",""coordinates"":[[[-40.22176930288831,-18.971281078362118],[-40.22087301071679,-18.971281115099675],[-40.22087301071679,-18.970384797662277],[-40.22176930288831,-18.970384843863467],[-40.22176930288831,-18.971281078362118]]]}"
0000000000000000006b,-19.006223988000013,50010,-40.020170092,5.245,-40.019274092,-19.005327988000012,"{""type"":""Polygon"",""coordinates"":[[[-40.02016884511762,-19.006222647439518],[-40.01927257844563,-19.006222645183605],[-40.01927257844563,-19.005326312796782],[-40.02016884511762,-19.005326323445033],[-40.02016884511762,-19.006222647439518]]]}"
0000000000000000005b,-19.041167988000012,39654,-40.069450092,1.165,-40.06855409200001,-19.04027198800001,"{""type"":""Polygon"",""coordinates"":[[[-40.06945083529402,-19.04116863042731],[-40.06855459984157,-19.04116857670231],[-40.06855459984157,-19.040272274705984],[-40.06945083529402,-19.040272336833326],[-40.06945083529402,-19.04116863042731]]]}"
