"","Seas.","Start.t.","End.t.","Length","Base.val.","Peak.t.","Peak.val.","Ampl.","L.deriv.","R.deriv.","L.integral","S.integral","Start.val.","End.val.","season_start_date","season_end_date","peak_date","length_days","phase_peak","phase_seas","phase_ensemble"
"1",1,60.55,100.4,39.83,0.3429,78.5,0.6053,0.2624,0.008038,0.006096,22.99,8.585,0.5089,0.5076,2019-11-03,2020-05-20,2020-01-31,199,30,100,65
"2",2,133.6,173.4,39.83,0.3397,151.5,0.6007,0.261,0.007979,0.006051,22.79,8.526,0.5046,0.5032,2020-11-02,2021-05-20,2021-01-31,199,30,100,65
