"","Seas.","Start.t.","End.t.","Length","Base.val.","Peak.t.","Peak.val.","Ampl.","L.deriv.","R.deriv.","L.integral","S.integral","Start.val.","End.val.","season_start_date","season_end_date","peak_date","length_days","phase_peak","phase_seas","phase_ensemble"
"1",1,71.85,121.9,50.04,0.661,90.74,0.8804,0.2194,0.1378,0.006999,43.23,8.854,0.8047,0.8035,2019-12-29,2020-09-05,2020-04-02,250,92,126,109
"2",2,144.9,194.9,50.05,0.6623,163.6,0.876,0.2136,0.1391,0.006731,43.02,8.581,0.8014,0.8005,2020-12-28,2021-09-04,2021-04-01,250,90,125,107.5
