"","Seas.","Start.t.","End.t.","Length","Base.val.","Peak.t.","Peak.val.","Ampl.","L.deriv.","R.deriv.","L.integral","S.integral","Start.val.","End.val.","season_start_date","season_end_date","peak_date","length_days","phase_peak","phase_seas","phase_ensemble"
"1",1,62.26,97.73,35.47,0.3438,74.25,0.6049,0.2611,0.01252,0.006246,19.66,6.936,0.4702,0.4722,2019-11-11,2020-05-07,2020-01-10,177,9,89,49
"2",2,135.3,170.7,35.47,0.3457,147.2,0.6077,0.262,0.01248,0.006314,19.74,6.954,0.4734,0.4733,2020-11-10,2021-05-07,2021-01-09,177,8,89,48.5
