"","Seas.","Start.t.","End.t.","Length","Base.val.","Peak.t.","Peak.val.","Ampl.","L.deriv.","R.deriv.","L.integral","S.integral","Start.val.","End.val.","season_start_date","season_end_date","peak_date","length_days","phase_peak","phase_seas","phase_ensemble"
"1",1,69.84,118.4,48.58,0.6878,99.4,0.8814,0.1936,0.004503,0.08745,43.18,8.106,0.8238,0.8199,2019-12-19,2020-08-18,2020-05-15,243,135,122,128.5
"2",2,142.8,191.4,48.58,0.6836,172.5,0.8759,0.1923,0.004448,0.08729,42.9,8.04,0.8177,0.8161,2020-12-18,2021-08-18,2021-05-15,243,134,122,128
