system:time_start,RVI_median,fitted
"Jan 30, 2021",-1.55,-1.53
"Feb 11, 2021",-1.603,-1.593
"Feb 23, 2021",-1.367,-1.651
"Mar 7, 2021",-1.407,-1.701
"Mar 19, 2021",-1.616,-1.741
"Mar 31, 2021",-1.609,-1.77
"Apr 12, 2021",-1.737,-1.785
"Apr 24, 2021",-1.701,-1.786
"May 6, 2021",-1.658,-1.774
"May 18, 2021",-1.703,-1.748
"May 30, 2021",-1.659,-1.711
"Jun 11, 2021",-1.648,-1.665
"Jun 23, 2021",-1.555,-1.611
"Jul 5, 2021",-1.713,-1.553
"Jul 17, 2021",-1.559,-1.493
"Jul 29, 2021",-1.272,-1.434
"Aug 10, 2021",-1.406,-1.379
"Aug 22, 2021",-1.227,-1.329
"Sep 3, 2021",-1.136,-1.287
"Sep 15, 2021",-1.051,-1.255
"Sep 27, 2021",-0.919,-1.233
"Oct 9, 2021",-0.936,-1.223
"Oct 21, 2021",-0.877,-1.225
"Nov 2, 2021",-0.922,-1.24
"Nov 14, 2021",-1.226,-1.266
"Nov 26, 2021",-1.649,-1.303
"Dec 8, 2021",-1.411,-1.35
"Dec 20, 2021",-1.408,-1.405
