"","Seas.","Start.t.","End.t.","Length","Base.val.","Peak.t.","Peak.val.","Ampl.","L.deriv.","R.deriv.","L.integral","S.integral","Start.val.","End.val.","season_start_date","season_end_date","peak_date","length_days","phase_peak","season_half_date","phase_seas","season_ensemble_date","phase_ensemble"
"1",1,69.9,123.4,53.54,0.7121,97.25,0.8921,0.18,0.01239,0.007243,47.98,8.099,0.8444,0.8415,2019-12-20,2020-09-12,2020-05-04,268,489,2020-05-02,487,2019-12-19,-13
"2",2,142.9,196.5,53.55,0.7095,170.3,0.8882,0.1787,0.01237,0.007217,47.77,8.039,0.8403,0.8394,2020-12-18,2021-09-12,2021-05-05,268,489,2021-05-01,485,2020-12-16,-16
