"","Seas.","Start.t.","End.t.","Length","Base.val.","Peak.t.","Peak.val.","Ampl.","L.deriv.","R.deriv.","L.integral","S.integral","Start.val.","End.val.","season_start_date","season_end_date","peak_date","length_days","phase_peak","season_half_date","phase_seas","season_ensemble_date","phase_ensemble"
"1",1,45.79,94.18,48.39,0.4629,70.05,0.658,0.195,0.02251,0.01447,31.9,8.294,0.5998,0.5997,2019-08-21,2020-04-19,2019-12-20,242,353,2019-12-20,353,2019-08-21,232
"2",2,118.8,167.2,48.39,0.4602,143,0.6536,0.1934,0.02243,0.01452,31.71,8.24,0.5978,0.5948,2020-08-20,2021-04-19,2020-12-19,242,353,2020-12-19,353,2020-08-20,232
