"","Seas.","Start.t.","End.t.","Length","Base.val.","Peak.t.","Peak.val.","Ampl.","L.deriv.","R.deriv.","L.integral","S.integral","Start.val.","End.val.","season_start_date","season_end_date","peak_date","length_days","phase_peak","season_half_date","phase_seas","season_ensemble_date","phase_ensemble"
"1",1,61,97.48,36.48,0.4087,78.8,0.6873,0.2786,0.0114,0.009426,23.63,7.69,0.5369,0.541,2019-11-05,2020-05-05,2020-02-02,182,397,2020-02-04,399,2019-11-06,-56
"2",2,134,170.5,36.48,0.4143,151.8,0.6954,0.2811,0.01138,0.009566,23.93,7.771,0.5455,0.5468,2020-11-04,2021-05-05,2021-02-01,182,396,2021-02-03,398,2020-11-05,-57
