"","system.time_start","RVI_median","fitted"
"153","Feb 12, 2021",0.772,0.785
"154","Feb 24, 2021",0.751,0.778
"155","Mar 8, 2021",0.744,0.772
"156","Mar 20, 2021",0.78,0.767
"157","Apr 1, 2021",0.78,0.763
"158","Apr 13, 2021",0.765,0.76
"159","Apr 25, 2021",0.761,0.758
"160","May 7, 2021",0.786,0.758
"161","Aug 23, 2021",0.831,0.803
"162","Sep 4, 2021",0.821,0.808
"163","Sep 16, 2021",0.822,0.813
"164","Sep 28, 2021",0.85,0.817
"165","Oct 10, 2021",0.892,0.819
"166","Oct 22, 2021",0.853,0.82
"167","Nov 3, 2021",0.845,0.82
"168","Nov 15, 2021",0.835,0.818
"169","Nov 27, 2021",0.796,0.815
"170","Dec 9, 2021",0.82,0.811
"171","Dec 21, 2021",0.799,0.805
