"","season_start_val","peak_val","season_end_val","season_start_date","peak_date","season_end_date","Seas.","Ampl.","length_days","phase_peak","season_half_date","phase_seas","season_ensemble_date","phase_ensemble"
"1",0.81,0.85,0.784,2019-07-08,2019-04-24,2020-01-04,1,0.104,180,113,2019-04-01,90,2018-12-20,353
"2",0.795,0.848,0.786,2020-07-22,2020-04-28,2021-01-08,2,0.104,170,118,2020-03-26,85,2019-12-16,349
"3",0.785,0.847,NA,2021-08-01,2021-04-23,2022-01-28,3,0.104,180,112,2021-04-01,90,2020-12-21,354
