"","season_start_val","peak_val","season_end_val","season_start_date","peak_date","season_end_date","Seas.","Ampl.","length_days","phase_peak","season_half_date","phase_seas","season_ensemble_date","phase_ensemble"
"1",0.858,0.869,0.853,2019-03-22,2019-06-15,2019-09-08,1,0.0359999999999999,170,165,2019-03-27,85,2018-11-22,325
"2",0.845,0.857,0.839,2020-03-16,2020-06-14,2020-09-12,2,0.0359999999999999,180,165,2020-03-31,90,2019-11-24,327
"3",0.826,0.845,NA,2021-09-17,2021-06-14,2022-03-11,3,0.0359999999999999,175,164,2021-03-30,88,2020-11-24,327
