"","season_start_val","peak_val","season_end_val","season_start_date","peak_date","season_end_date","Seas.","Ampl.","length_days","phase_peak","season_half_date","phase_seas","season_ensemble_date","phase_ensemble"
"1",0.476,0.515,0.446,2019-05-04,2019-02-23,2019-10-16,1,0.096,165,53,2019-03-24,82,2019-01-15,14
"2",0.47,0.517,0.463,2020-05-13,2020-02-18,2020-11-04,2,0.096,175,48,2020-03-29,88,2020-01-21,20
"3",0.467,0.519,0.469,2021-05-18,2021-02-12,2021-11-09,3,0.096,175,42,2021-03-30,88,2021-01-24,23
