"","season_start_val","peak_val","season_end_val","season_start_date","peak_date","season_end_date","Seas.","Ampl.","length_days","phase_peak","season_half_date","phase_seas","season_ensemble_date","phase_ensemble"
"1",0.536,0.631,0.515,2019-04-29,2019-02-03,2019-10-26,1,0.208,180,33,2019-04-01,90,2019-01-29,28
"2",0.531,0.634,0.509,2020-05-03,2020-02-08,2020-10-20,2,0.208,170,38,2020-03-26,85,2020-01-25,24
"3",0.526,0.638,0.539,2021-05-08,2021-02-02,2021-11-04,3,0.208,180,32,2021-04-01,90,2021-01-30,29
