"","season_start_val","peak_val","season_end_val","season_start_date","peak_date","season_end_date","Seas.","Ampl.","length_days","phase_peak","season_half_date","phase_seas","season_ensemble_date","phase_ensemble"
"1",0.538,0.59,0.508,2019-05-04,2019-02-18,2019-10-21,1,0.122,170,48,2019-03-27,85,2019-01-19,18
"2",0.532,0.589,0.512,2020-05-08,2020-02-18,2020-10-25,2,0.122,170,48,2020-03-26,85,2020-01-19,18
"3",0.521,0.589,0.531,2021-05-18,2021-02-07,2021-11-14,3,0.122,180,37,2021-04-01,90,2021-01-27,26
