left,top,right,bottom,Hectare_ID
-41.115763217000001,-16.399675612000024,-41.114867217000011,-16.400571612000025,"12"
-41.034227217000002,-16.307387612000024,-41.033331217000011,-16.308283612000025,"13"
-40.994803216999998,-16.224955612000024,-40.993907217000000,-16.225851612000024,"02"
-40.984947216999998,-16.232123612000024,-40.984051217000001,-16.233019612000025,"06"
-40.931187217000002,-16.304699612000025,-40.930291217000011,-16.305595612000026,"11"
