"","date","VH_hectareID_12","VH_sd_hectareID_12","VH_hectareID_02","VH_sd_hectareID_02","VH_hectareID_06","VH_sd_hectareID_06","VH_hectareID_11","VH_sd_hectareID_11","VH_hectareID_63","VH_sd_hectareID_63","VH_hectareID_62","VH_sd_hectareID_62","VH_hectareID_61","VH_sd_hectareID_61","VH_hectareID_26","VH_sd_hectareID_26","VH_hectareID_25","VH_sd_hectareID_25","VH_hectareID_24","VH_sd_hectareID_24","VH_hectareID_23","VH_sd_hectareID_23","VH_hectareID_21","VH_sd_hectareID_21","VH_hectareID_22","VH_sd_hectareID_22","VH_hectareID_20","VH_sd_hectareID_20","VH_hectareID_64","VH_sd_hectareID_64","VH_hectareID_34","VH_sd_hectareID_34","VH_hectareID_33","VH_sd_hectareID_33","VH_hectareID_32","VH_sd_hectareID_32","VH_hectareID_31","VH_sd_hectareID_31","VH_hectareID_30","VH_sd_hectareID_30","VH_hectareID_29","VH_sd_hectareID_29","VH_hectareID_28","VH_sd_hectareID_28","VH_hectareID_42","VH_sd_hectareID_42","VH_hectareID_41","VH_sd_hectareID_41","VH_hectareID_39","VH_sd_hectareID_39","VH_hectareID_38","VH_sd_hectareID_38","VH_hectareID_37","VH_sd_hectareID_37","VH_hectareID_35","VH_sd_hectareID_35","VH_hectareID_50","VH_sd_hectareID_50","VH_hectareID_48","VH_sd_hectareID_48","VH_hectareID_47","VH_sd_hectareID_47","VH_hectareID_46","VH_sd_hectareID_46","VH_hectareID_45","VH_sd_hectareID_45","VH_hectareID_44","VH_sd_hectareID_44","VH_hectareID_43","VH_sd_hectareID_43","VH_hectareID_58","VH_sd_hectareID_58","VH_hectareID_57","VH_sd_hectareID_57","VH_hectareID_56","VH_sd_hectareID_56","VH_hectareID_55","VH_sd_hectareID_55","VH_hectareID_54","VH_sd_hectareID_54","VH_hectareID_52","VH_sd_hectareID_52","VH_hectareID_51","VH_sd_hectareID_51","VH_hectareID_59","VH_sd_hectareID_59","VH_hectareID_49","VH_sd_hectareID_49","VH_hectareID_53","VH_sd_hectareID_53"
"11",2016-05-21,-12.901567,0.742002,-13.4668,1.085895,-12.522605,1.266137,-12.658124,0.921679,NA,NA,NA,NA,NA,NA,-13.333091,1.467317,NA,NA,-13.533656,1.484397,NA,NA,NA,NA,-12.506352,1.180742,NA,NA,NA,NA,NA,NA,-13.952868,1.060657,NA,NA,-13.024855,0.86936,-14.225012,1.824159,NA,NA,-13.167561,1.620551,-13.420558,0.857018,-12.772846,0.855826,-13.615727,0.943209,-12.850386,1.458965,-12.793782,0.634761,-13.670574,1.892282,-12.484392,0.797163,-13.253845,0.900879,-14.074924,3.712262,-13.635072,0.752209,-14.2894,0.884613,-13.555647,1.083605,-13.293835,0.916846,-13.270581,1.032247,-12.439021,2.621453,-13.625216,0.811726,-11.777352,1.01818,-12.007249,1.800551,-13.707578,1.408041,-12.80002,1.361603,-12.859084,1.470077,-12.373488,1.307495,-14.479583,2.656924
"12",2016-06-02,-13.751106,1.060321,-14.356845,0.953705,-13.547091,0.982676,-12.758633,0.978864,NA,NA,NA,NA,NA,NA,-13.290339,1.15666,NA,NA,-14.950767,1.343837,NA,NA,NA,NA,-13.516872,1.14257,NA,NA,NA,NA,NA,NA,-14.402723,0.898852,NA,NA,-12.958808,1.041654,-15.062354,2.130657,NA,NA,-12.952196,1.604812,-14.264493,0.899169,-14.533465,0.838107,-13.940205,0.73963,-14.371389,0.927124,-16.108711,0.878516,-14.777421,1.901098,-13.650599,0.838605,-14.702598,1.09682,-16.613165,3.211887,-14.289331,0.952964,-15.008246,0.628767,-14.521113,1.177294,-13.268763,0.993294,-13.73146,0.866374,-12.227464,2.417992,-14.205471,0.676485,-11.211112,1.177478,-13.418947,0.970988,-13.801324,1.206188,-13.527016,0.844982,-13.417052,1.145918,-14.631854,1.555772,-14.894088,2.434769
"13",2016-06-14,-13.357615,0.977399,-13.617817,0.970963,-13.352592,1.286902,-12.953098,0.856902,NA,NA,NA,NA,NA,NA,-12.679352,1.287881,NA,NA,-14.270069,1.717741,NA,NA,NA,NA,-12.952072,1.136399,NA,NA,NA,NA,NA,NA,-14.229128,1.121641,NA,NA,-12.578807,1.267757,-14.546643,1.875661,NA,NA,-13.009346,1.525819,-14.330521,0.95396,-13.647708,0.99046,-14.2339,0.908861,-14.109613,0.891916,-14.255886,1.015501,-14.365905,1.63284,-13.537209,0.95377,-14.150843,0.902722,-15.243224,3.024699,-13.588553,0.792665,-13.923984,0.699895,-14.081808,0.888163,-13.195901,1.270559,-12.554667,0.760546,-12.151579,2.250234,-14.131444,0.899886,-10.769683,0.866262,-12.829675,1.27266,-14.843028,1.707717,-13.480164,0.741287,-12.796545,1.509026,-13.75886,1.170669,-13.736865,2.39211
"14",2016-07-08,-12.667453,0.944576,-13.228246,0.894934,-13.413021,1.05906,-12.931348,1.120044,NA,NA,NA,NA,NA,NA,-12.889927,1.290654,NA,NA,-13.778892,1.780939,NA,NA,NA,NA,-13.641261,1.077259,NA,NA,NA,NA,NA,NA,-13.954927,1.010245,NA,NA,-13.35084,1.220465,-13.775294,1.504372,NA,NA,-12.797242,1.250673,-14.957215,0.875028,-14.070891,0.799613,-14.19357,1.043494,-14.260352,0.903864,-15.639202,1.052869,-14.723835,1.802801,-13.961624,0.757068,-14.068262,1.174462,-13.487391,3.471438,-14.088545,1.148801,-14.479172,0.626433,-14.64038,1.006878,-13.04801,0.881425,-12.786121,0.805003,-12.450762,2.615935,-14.918575,0.942252,-11.721457,1.545757,-13.540436,1.34572,-13.583348,1.038043,-12.822494,0.926551,-12.861821,1.460766,-14.522356,1.178048,-14.222694,2.318632
"15",2016-07-20,-12.654806,0.710685,-13.098589,1.018056,-13.081088,1.330424,-12.184542,0.936959,NA,NA,NA,NA,NA,NA,-12.486484,1.23759,NA,NA,-14.651484,1.830844,NA,NA,NA,NA,-12.265984,1.127484,NA,NA,NA,NA,NA,NA,-13.456984,1.156221,NA,NA,-12.345116,0.923336,-14.28376,1.825354,NA,NA,-12.611546,1.524925,-14.952616,0.895477,-12.891154,0.923295,-13.447709,0.948182,-14.160066,1.385157,-13.65604,0.851023,-14.944548,1.9378,-13.550543,0.736641,-12.882087,0.927886,-13.569747,2.61469,-13.488032,0.913054,-13.365349,0.894375,-14.306992,0.74401,-12.584734,1.235802,-13.51131,1.007504,-12.644415,2.839907,-13.538339,0.880281,-11.770801,0.728665,-12.902547,1.278851,-13.830963,1.339919,-13.561895,0.699747,-13.392057,1.250771,-13.731512,0.955914,-14.838764,2.400388
"16",2016-08-01,-13.079673,0.923614,-14.190175,1.541162,-13.59361,1.647503,-13.7685,1.84031,NA,NA,NA,NA,NA,NA,-12.534082,1.571084,NA,NA,-15.662717,2.098035,NA,NA,NA,NA,-13.979617,1.064409,NA,NA,NA,NA,NA,NA,-14.110384,0.880673,NA,NA,-13.248384,1.466388,-14.264096,2.370365,NA,NA,-12.759016,1.264989,-15.200876,1.085402,-13.733838,0.900306,-14.550081,0.878212,-13.735281,0.999247,-13.795241,0.969224,-14.416264,1.532643,-14.213077,1.00066,-14.85067,0.739464,-15.279977,3.458107,-13.43491,1.414863,-14.224206,0.847366,-14.757713,0.678797,-13.040656,1.070594,-13.279013,1.066983,-13.836202,2.408969,-13.741442,0.769534,-11.562412,0.957178,-13.484877,1.289149,-14.415978,1.559461,-12.202315,0.911651,-13.649606,1.047782,-14.717363,1.28144,-14.785017,2.198638
"17",2016-08-13,-13.325005,1.118627,-13.581587,0.852669,-13.326178,1.162218,-12.986877,0.890782,NA,NA,NA,NA,NA,NA,-12.45433,1.507415,NA,NA,-14.84185,2.239622,NA,NA,NA,NA,-13.177327,0.842637,NA,NA,NA,NA,NA,NA,-13.596563,0.756671,NA,NA,-13.186586,1.229164,-14.288575,2.026068,NA,NA,-12.873268,1.139424,-14.410953,0.779203,-13.925431,0.638034,-13.571606,1.289664,-13.006452,0.889953,-15.949999,0.932138,-13.300729,1.281202,-13.806098,0.811669,-13.294781,1.218586,-14.73834,2.529695,-13.170681,1.17696,-12.8685,0.881087,-14.356796,1.023268,-12.99159,1.163846,-12.722464,1.072325,-12.569079,2.513165,-13.885367,0.948266,-11.377246,1.024327,-13.332763,1.164663,-13.597132,1.125493,-13.026456,0.910768,-13.192617,1.533974,-13.680775,0.867537,-14.297669,2.494792
"18",2016-08-25,-13.438206,1.049094,-14.162354,0.933331,-13.400563,1.351199,-14.089208,0.917579,NA,NA,NA,NA,NA,NA,-12.740327,1.632899,NA,NA,-15.405834,1.870335,NA,NA,NA,NA,-13.172615,1.564921,NA,NA,NA,NA,NA,NA,-13.415766,0.790225,NA,NA,-13.806479,0.974479,-15.129988,2.704155,NA,NA,-12.732329,1.440737,-15.414744,0.777435,-14.515535,0.924155,-14.575889,1.292414,-13.769333,0.743451,-16.297119,0.941365,-14.147034,1.969182,-14.893764,1.046565,-15.308434,1.029534,-14.964157,2.587365,-15.176556,1.077787,-14.886679,0.905481,-15.28711,0.727047,-13.95504,1.099567,-12.635913,1.280129,-12.150744,2.740978,-14.427946,0.941015,-12.755809,1.561305,-13.030483,1.52216,-13.719941,1.480347,-13.33286,1.087142,-13.51377,1.147529,-14.431687,1.014419,-15.820166,2.308807
"19",2016-09-06,-13.464991,1.263535,-12.981187,0.788636,-13.072157,0.979191,-13.652523,1.079666,NA,NA,NA,NA,NA,NA,-12.580816,1.374995,NA,NA,-15.079902,1.945503,NA,NA,NA,NA,-13.855167,1.436676,NA,NA,NA,NA,NA,NA,-13.52122,0.910286,NA,NA,-13.211134,0.989427,-13.779471,1.913799,NA,NA,-12.606332,1.385929,-13.923353,0.867567,-13.830713,0.621107,-14.35671,0.87236,-13.378127,1.117501,-15.243663,1.197917,-14.232781,1.521226,-13.615877,1.181058,-14.484405,0.839684,-16.093119,3.128541,-14.17436,1.300054,-15.325619,0.926108,-14.823216,1.304927,-14.182401,1.217044,-13.10154,0.905683,-14.047964,2.35411,-13.972452,0.798589,-12.302845,1.31507,-13.775004,2.055538,-13.728037,1.301776,-13.429294,1.170189,-13.005488,1.000325,-14.531742,1.215809,-14.902272,2.664871
"20",2016-09-18,-13.226821,0.954262,-13.55184,0.956938,-13.028494,1.300373,-13.220342,1.571944,NA,NA,NA,NA,NA,NA,-12.698038,1.194765,NA,NA,-14.970687,1.643565,NA,NA,NA,NA,-13.488787,1.264669,NA,NA,NA,NA,NA,NA,-13.392626,0.835938,NA,NA,-12.892834,0.875571,-13.895472,2.049834,NA,NA,-12.221697,1.578957,-14.46281,0.929887,-13.253315,1.048012,-14.419814,0.990702,-12.923108,0.839813,-15.019578,0.909949,-14.117657,1.590276,-13.894786,1.043912,-14.985863,0.903043,-15.720734,3.084561,-15.366627,1.328027,-14.197325,1.151799,-15.233573,1.157351,-14.236725,0.970086,-13.393356,0.898002,-13.972586,2.41351,-14.715087,0.876943,-12.340309,1.04804,-14.598249,1.739195,-14.514958,1.385587,-12.391128,1.428024,-13.421396,1.049062,-13.57401,1.024313,-14.922393,2.673196
