"","season_start_val","peak_val","season_end_val","season_start_date","peak_date","season_end_date","Seas.","Ampl.","length_days","phase_peak"
"1",-7.743,-7.267,-7.269,2016-08-25,2016-02-27,2017-02-21,1,0.476,180,57
"2",-7.743,-7.269,-7.273,2017-08-20,2017-02-21,2018-02-16,2,0.476,180,51
"3",-7.746,-7.271,-7.272,2018-08-27,2018-02-28,2019-02-23,3,0.476,180,58
"4",-7.748,-7.272,-7.276,2019-08-22,2019-02-23,2020-02-18,4,0.476,180,53
"5",-7.75,-7.275,-7.276,2020-08-28,2020-03-01,2021-02-24,5,0.476,180,60
"6",-7.752,-7.276,NA,2021-08-23,2021-02-24,2022-02-19,6,0.476,180,54
