"","season_start_val","peak_val","season_end_val","season_start_date","peak_date","season_end_date","Seas.","Ampl.","length_days","phase_peak"
"1",-13.489,-12.983,-13.049,2016-07-08,2016-01-10,2017-01-04,1,0.426,180,9
"2",-13.56,-13.049,-13.118,2017-07-03,2017-01-04,2017-12-30,2,0.426,180,3
"3",-13.628,-13.124,-13.195,2018-06-28,2018-01-11,2018-12-13,3,0.426,168,10
"4",-13.7,-13.19,-13.258,2019-07-05,2019-01-06,2020-01-01,4,0.426,180,5
"5",-13.769,-13.258,-13.327,2020-06-29,2020-01-01,2020-12-26,5,0.426,180,0
"6",NA,-13.331,NA,NA,2021-01-07,NA,6,0.426,NA,NA
