"","season_start_val","peak_val","season_end_val","season_start_date","peak_date","season_end_date","Seas.","Ampl.","length_days","phase_peak"
"1",-12.774,-12.627,-12.69,2016-07-08,2016-01-10,2017-01-04,1,0.134,180,9
"2",-12.838,-12.69,-12.754,2017-07-03,2017-01-04,2017-12-30,2,0.134,180,3
"3",-12.902,-12.757,-12.819,2018-06-28,2018-01-11,2018-12-13,3,0.134,168,10
"4",-12.968,-12.821,-12.884,2019-07-05,2019-01-06,2020-01-01,4,0.134,180,5
"5",-13.032,-12.884,-12.948,2020-06-29,2020-01-01,2020-12-26,5,0.134,180,0
"6",NA,-12.951,NA,NA,2021-01-07,NA,6,0.134,NA,NA
