"","season_start_val","peak_val","season_end_val","season_start_date","peak_date","season_end_date","Seas.","Ampl.","length_days","phase_peak"
"1",-6.782,-6.538,-6.441,2016-12-11,2016-06-14,2017-06-09,1,0.196,180,165
"2",-6.68,-6.437,-6.337,2017-12-18,2017-06-21,2018-06-16,2,0.196,180,171
"3",-6.581,-6.337,-6.239,2018-12-13,2018-06-16,2019-06-11,3,0.196,180,166
"4",NA,-6.239,NA,NA,2019-06-11,NA,4,0.196,NA,NA
"5",-6.319,-6.136,-6.27,2020-03-13,2020-06-17,2020-09-21,5,0.196,192,168
"6",NA,-6.081,NA,NA,2021-05-07,NA,6,0.196,NA,NA
