"","season_start_val","peak_val","season_end_val","season_start_date","peak_date","season_end_date","Seas.","Ampl.","length_days","phase"
"1",-13.219,-12.867,-13.495,2016-03-10,2016-01-10,2016-08-13,1,0.804,156,9
"2",-13.392,-12.949,-13.57,2017-03-17,2017-01-04,2017-08-20,2,0.804,156,3
"3",-13.433,-13.055,-13.711,2018-03-12,2018-01-11,2018-08-03,3,0.804,144,10
"4",-13.562,-13.114,-13.683,2019-03-19,2019-01-06,2019-08-22,4,0.804,156,5
"5",-13.604,-13.177,-13.795,2020-03-13,2020-01-01,2020-08-16,5,0.804,156,0
"6",-13.645,-13.28,-13.9055,2021-03-08,2021-01-07,2021-08-11,6,0.804,156,6
