"","season_start_val","peak_val","season_end_val","season_start_date","peak_date","season_end_date","Seas.","Ampl.","length_days","phase"
"1",0.841,0.87,0.841,2016-08-01,2016-10-24,2017-01-16,1,0.0619999999999999,167,297
"2",0.828,0.86,0.834,2017-07-27,2017-10-19,2018-01-11,2,0.0619999999999999,168,291
"3",0.822,0.85,0.82,2018-08-03,2018-10-26,2019-01-18,3,0.0619999999999999,168,298
"4",0.809,0.84,0.813,2019-07-29,2019-10-21,2020-01-13,4,0.0619999999999999,168,293
"5",0.796,0.83,0.806,2020-07-23,2020-10-15,2021-01-07,5,0.0619999999999999,167,288
"6",0.803,0.82,0.805,2021-08-23,2021-10-22,2021-12-21,6,0.0619999999999999,120,294
